IntercompanyNo,CompanyCode,FiscalYear,DocumentNo
8551,60809,1992,4628940053
8551,39365,1977,1741864568
5130,55846,1983,4088253128
5130,87488,1992,8008222820
6089,62521,1974,0536031196
6089,15158,2020,5870342573
8367,77180,2012,8433260423
8367,18115,2023,8364086298
8367,50776,1988,9891987609
2650,87323,1978,2918657524
7766,87464,1987,9354377545
3716,62964,2020,8842544292
3716,57069,1997,3855598974
617,92904,2005,4464167829
4005,14141,1994,0061417471
4001,67794,2015,9702234054
3196,49308,2023,6392609498
979,59751,2011,9892452843
979,6572,1998,6634998880
4619,89489,2001,4322124516
4619,8407,2002,2887386429
4159,75533,1998,2301992234
4159,99380,2015,3632751898
4159,36906,2022,4014218169
1017,12589,2011,2020023467
1017,67661,1972,5892970599
1131,4130,2024,6814201637
1131,36338,1993,8714063430
1131,7677,1980,5823928610
4211,14733,2019,0362825466
5217,82719,1979,6392236501
5217,86727,2017,7309038486
5217,21435,1994,4738931603
8703,14125,1978,3632360360
760,45624,1998,1932736848
6713,12030,1987,4069832641
6713,48178,1994,6975402895
105,9314,2022,4919352554
908,54566,2014,4611388838
4255,78720,2015,5023169490
4255,39309,1987,8061784498
4255,61473,1985,4485961632
2603,98757,2004,4665962997
2603,71566,2019,4208929124
2603,15898,1976,8424865189
5263,67608,2002,7371077308
5263,14041,2022,9479135449
5263,27667,2007,9863892931
6861,59508,2020,7915896588
6861,66669,1997,9109475215
6861,71987,1976,2610752942
2079,30207,1976,6456291321
2079,66454,2018,0713670375
953,64831,1996,7471798500
9751,2722,1993,5580730903
9751,6678,1987,5617610328
9751,88207,1975,6975522816
8833,89281,2010,6335794435
8833,11503,2023,1821627881
8833,81293,1984,6671073937
7618,46312,1972,4822954515
5652,79243,2004,8712795157
5652,98269,1996,4263793427
3958,90185,2000,9809420682
3958,44630,2014,9206800795
3958,75599,1983,0831577213
1113,97062,1971,6746123680
1113,24618,2014,4511083610
4449,37438,2008,7196978999
4449,67200,2024,9301248410
9553,37996,1986,2303654508
9553,195,2014,8227516884
9553,85970,2020,3069447056
9384,15540,1985,1635255810
9384,11603,2015,1564874542
9384,75741,2005,5158242521
9858,95584,2014,6086142035
8118,28133,1998,2573770430
966,97212,2013,7031421594
966,53596,1975,9367119590
966,28180,1998,2934074144
1037,90425,2016,8781299056
6065,97244,2007,7981839071
7801,35180,2012,9930750648
7801,40002,2008,8296938209
1965,20459,1979,0940714007
1965,51809,1997,9037555722
5003,47051,1984,7466736508
5003,6752,2015,4704072961
5003,58335,2001,1481199738
8140,54615,1989,4231491542
8140,57183,2022,3874268547
8140,63007,1988,1035852040
4131,48908,2011,3598916758
7987,61254,1971,1636756080
8144,37005,1989,1932919106
8144,51547,1989,5272119714
3936,40650,2019,2608198149
3936,49090,1972,5715859819
234,1973,1995,8993498422
234,26519,1982,0675622237
6972,93612,2018,6889215797
6972,53011,2012,6128639815
6972,93040,1979,7144979128
4627,41342,2016,9005999005
4627,55593,2013,7086666474
4627,50568,1989,1513881981
2545,98757,1983,7409891326
7715,17137,2010,3584198162
9290,8895,1988,5925047840
9290,7786,2019,1931160787
9290,78167,1973,1326632033
1850,20925,1974,5625314623
1850,32247,1975,9697604879
6493,31389,2009,0529732501
2975,82295,2019,0539566548
2975,51285,1995,3664194165
2975,42170,1990,5112393166
5962,30223,2003,5934441601
5962,56997,2024,1490826939
5962,73054,2022,0656064560
768,30956,2004,0544613619
768,55627,2020,4129349866
9266,88695,2000,2191648237
9266,71439,2001,8397443084
9266,64822,2022,6334450131
3222,71401,2016,8851820591
1318,66855,2012,1021886070
1318,56066,1985,5661469760
3479,44574,2018,9303175901
3479,39371,2023,5151928332
3479,59305,1987,8935376991
3630,65230,2016,1068525447
3630,40093,1983,6291043649
3630,12044,1979,6719391889
8563,58987,2010,9754409649
8563,11684,2003,3226161100
5631,99110,1981,0165361681
8619,45724,1994,4828281613
59,85250,2014,6314230947
59,31389,2019,6954667857
59,39891,1983,1596130366
6955,95078,1979,9197561717
6955,16395,2013,5290122707
2277,23435,1987,0361516178
3589,51295,1976,3868632790
3589,61353,2012,7739711887
4636,65513,2009,0608576778
4636,24762,2021,5643798325
9812,56692,2010,6714853620
7500,90211,2024,7228554239
9722,79781,1974,6372386194
7871,87595,1975,8510778815
7871,95981,2009,5951120310
3133,81116,2023,4954366575
3133,6290,1980,2832890225
3133,12848,2011,7339227317
4220,42767,2022,0124279655
3016,9154,1975,7253485153
1504,62717,2013,5820138837
1504,83346,2011,4449537190
1504,4370,2018,6599411056
6551,67043,2023,5274889724
6551,2286,1975,4840722214
3207,92651,1977,3039134887
3207,30724,1974,6135711262
3207,6735,1995,8199763004
2133,58398,2021,9677948454
2133,53702,2022,6711006383
9576,97327,1981,1337209571
9576,4748,2006,5266891273
8638,23871,2024,1444908645
8638,90228,1971,3454234615
8638,63019,2003,4119943400
8253,15106,1982,6501307321
8253,74553,2019,5243715745
3682,93305,1989,3706174296
3682,95937,2013,6108654050
1421,30414,2006,6892206045
2690,57952,1996,9579189485
6862,22346,1982,0163016578
6862,96437,1979,4934641800
6862,37360,2002,5253653988
2206,59259,2012,5480291648
2206,90357,2015,7188687684
1230,74497,2000,6923279296
1230,42517,1975,6234216529
1230,89745,1975,0127721245
4766,63359,2002,1464138874
9449,3385,1992,1267007809
9449,25822,1972,3146304880
9449,21409,1976,5753670149
3172,72946,2024,5177702802
3172,4090,2018,1716835038
3172,16141,1972,6362430821
7380,98912,1975,0937471775
5318,12218,2009,9901443246
5318,47856,2015,3020502142
5318,11877,1995,4483973987
7786,60750,2006,3408132863
7786,81293,1995,1069357282
7786,38406,1975,2908474936
8084,59925,1973,5303106563
1995,12666,1972,7705855332
1995,93328,1996,5451553567
5374,64225,1999,0522436183
5374,58467,2021,7025435881
5374,64205,1970,5799696396
3213,91625,2020,5875826051
3213,93238,2012,9847335430
1460,10665,1995,4720223545
8689,77516,2003,3752294485
8689,25747,1991,0852966804
8689,26855,1987,6062939575
9161,32635,1974,1611413878
9161,91367,2020,1800679712
4414,59122,1979,5320508494
4414,16184,1985,5820303915
8115,56262,1987,0519903282
8115,97471,2016,1325757653
8115,17103,1994,9422740242
6097,88195,2002,7738274721
9616,35583,1988,0579763409
9616,1221,1972,2654653102
8122,60736,2021,0370884162
8122,14077,2013,1088220462
8122,58312,2005,6927438843
2593,53136,2003,2991377984
246,65961,2019,2143731673
246,69122,1992,3789146992
5715,57345,2005,3978005027
5715,70106,2007,3791175419
5715,75896,1995,7272143943
9369,36325,1987,3709785730
2308,95423,2011,8282656154
2308,32351,1996,4699993911
2308,15567,1971,3781793610
6267,17998,1990,8405530570
6267,60002,2020,9624393229
6267,27554,1983,0655308745
9013,89084,2008,2335959378
2174,17425,1974,8458427767
2174,41765,1973,9432187707
7927,83857,1986,6242235965
7927,59996,2021,7466645095
7927,89167,1976,3762003076
5416,87431,1999,3476392041
5310,68972,2001,3788062832
5310,46079,2017,0854462468
5310,60725,2012,4752914089
689,86645,1991,6523127261
689,27109,2018,7804431211
689,36123,1991,6799321584
8784,63731,2010,8495819905
7586,44387,2006,6097827634
6970,32179,1982,4800359432
518,96104,1985,1448764075
518,6622,2001,6694337472
5277,69401,2015,6506968562
5277,99572,1976,6969601269
5277,93290,1977,0607278802
3760,1547,2010,0497060206
3760,75980,2008,3457905128
3760,57806,1980,8310635806
652,59202,1971,2324010359
652,53838,1975,4498836721
5193,82096,2013,8291705812
5193,82292,1978,3713593879
5193,46589,2002,6246285155
9024,194,1972,3557413211
9024,11240,1980,3769525799
4115,35959,2001,7114907264
4115,96067,2021,7537146104
8305,45345,1985,9129456040
3465,92831,2016,1167400891
8281,31730,1976,6342284476
8281,47407,1998,0455522513
8281,89249,2021,6733420891
7596,47803,1985,8651378014
7596,51894,2001,0199843105
1279,49330,1978,5407271015
4008,49151,1978,6396959254
1493,29457,2016,6563049709
4515,87298,2001,4417481329
4515,8711,1998,5410476683
4515,53716,2000,2663699674
4940,38739,2017,5720675227
4940,83827,2017,3910970603
4940,73057,1997,0880474329
6523,84381,1993,6875728386
6523,77224,1982,0762891385
6523,5673,1987,8303441059
5425,69401,2015,1370427046
5425,45457,2006,6825754572
705,27843,1996,3844464887
705,70578,1997,0434623729
4900,22282,1993,2767046400
4900,92487,2004,2216473680
4030,70418,2003,9513164254
7371,49398,1973,9285610481
7371,25418,1985,6871617568
7371,90595,1999,3483532547
4168,3241,1970,1378173935
4168,66586,1982,6303002099
1462,8043,1977,6252894382
5651,33863,1980,5040751129
5651,32301,2008,8711119486
5651,83398,1971,3981198342
8605,35117,1987,8863602301
8605,57689,2019,6019535032
1412,19156,1979,4508795242
3772,39982,1991,3391724658
3854,15158,2016,0586491092
3854,54566,2017,4224667725
3854,57516,1981,5578609635
8024,79845,1986,7257044632
8024,73099,1986,6196578519
8024,10943,1995,5707252410
5140,53944,1996,3950007731
5140,72843,2019,0964459394
5140,75960,1981,2605180823
7218,19222,1983,4091988791
7218,51375,1997,2529472616
2979,45470,2003,8206013745
2979,27842,2023,1647356186
2979,63324,1992,6925361203
435,22916,1992,4209925050
435,55276,2020,9693749862
4633,78259,2001,8198593855
4633,22425,2024,4703574918
4633,69050,2008,5243250068
6465,71996,2009,1949430840
635,32955,2004,7810524981
1296,85983,2004,9820993901
1296,83275,2018,8212118500
1296,93478,1972,2871727522
3846,76511,1995,7483688832
7581,5027,1995,1990696883
7581,99379,1985,2874799932
4929,32371,2003,0933431540
4929,85827,1998,4546503271
4929,43852,2002,6826513444
7827,63382,1989,9239028963
7827,42518,1974,9797685339
6718,84961,1994,3251674606
58,71498,2012,0534040618
58,31272,1977,6462781803
8993,81637,1981,8730630579
9811,17645,2020,7711650768
9811,2139,1970,0315385831
9811,18919,1991,2643576049
8968,23286,1994,5774469069
7127,46259,1981,4768607182
7127,79639,2011,0292723550
3873,5199,2024,3891536326
1806,50859,1978,7664026623
1806,58142,2012,3834271345
7,71101,1991,3501617894
9437,82387,2001,3565877350
9437,91299,1989,7835088114
9437,80920,2011,4162161148
7489,44634,2021,6690652195
4179,68273,1980,7084987811
4179,18381,2011,1957705631
2010,52942,1992,9238908504
2010,88100,1977,4015035823
4982,29919,1991,0496365314
4982,49763,1980,3508049574
4982,30928,1981,1514400068
3529,66346,1980,8805302995
3529,83055,1976,4505606297
3529,71721,1997,0805587609
4723,31254,2004,2706256668
4696,21052,1977,7558171262
4696,18282,1986,3795398526
3240,12789,1993,3419089510
3240,54259,1977,8544432531
3240,84590,1976,5410341374
2078,8453,2013,0773117281
2078,95183,1981,2662488666
2078,97570,2020,5372125964
4136,57147,1970,5382766731
4136,42210,1986,7332263193
4136,94342,1981,1107861461
5215,84973,1974,2255159050
5215,57059,1998,1700298433
5215,57849,2022,2023650004
5022,2379,1994,3109579006
5022,85617,2007,4227020588
5022,43142,2010,9966213690
6297,20974,1999,3201999966
6297,55726,1993,0995680162
4586,44262,1986,8550258274
982,13079,1985,6731777631
4569,16043,2006,6721183552
4569,7574,1979,6632211841
903,91064,2004,8503526184
903,53801,1984,0212835797
903,11423,1989,4865013097
1440,83060,1978,3979496284
1440,50099,1975,9318061956
1440,21221,2000,9510508281
3092,91397,1992,0719988255
3092,45250,1998,1411768506
8016,36129,1975,6967950507
8016,100,2017,2306480451
8016,46584,2020,1201658988
4679,56514,2018,0930927652
4679,95958,1994,6528340218
920,90724,2000,9938264466
920,91809,2006,1789716567
920,70743,1986,4858360500
9230,50423,2010,4629764357
9230,57246,2012,7350025444
8545,80870,1998,6253534127
7215,6678,2017,7753179495
7215,81122,1977,0585979597
1833,58150,1989,9424276000
4664,88046,2000,3312985279
4664,33020,2006,4393313745
4664,87975,2000,0468801422
6850,64330,1998,9547537923
6850,49436,2016,9637173977
1182,55198,1998,2281639390
5261,15917,1981,8827036081
7573,28393,2012,4486281985
7573,15626,2000,4381007081
7573,14533,2010,0166105492
6773,21194,2007,3479027832
991,80635,2001,4599686077
991,24943,1989,1751463880
7276,84804,2006,6131461191
7276,50741,1990,8278634340
442,17533,1989,7494803378
442,51953,1980,8443163361
442,31577,1973,0900806804
7344,25894,2020,0396066560
7344,94800,1974,6773314321
328,9931,2000,5243725628
4919,51953,1974,0781203203
4919,87636,1991,4774746572
8644,67647,2007,6142519041
6100,92635,2015,8544837072
2849,56002,2001,3666025308
2849,38684,1996,4219652857
2849,79041,1987,8643824188
1938,55149,1972,5194738667
1938,73485,2021,2222379252
1938,38756,1994,6341693688
5189,84657,1972,8252613195
4057,88794,2019,5447026501
4057,54382,1980,5752583014
4057,76822,1994,2787730772
7516,9974,1978,1591064993
788,46508,1992,3836030178
2845,28227,1984,6719016653
7035,8669,1995,9752778281
7035,22897,1970,8987643307
7035,2575,2001,8976022927
5513,24388,1989,2701875371
5513,35597,2008,7618405779
5513,81754,1975,2184156552
2506,13918,1985,3500461239
2506,28047,1974,3344079306
8566,66616,1971,1832207998
8566,39821,2007,3992915975
5283,34745,2013,3391001312
5283,28748,1975,5279109449
9779,59323,1981,4672375540
5456,74652,2018,9363612854
6496,38268,1992,9096079629
6496,13088,2023,0004535150
6496,17835,1972,4365600835
7786,77287,1976,0470148018
7786,80429,2023,7040888498
94,98967,2001,8197462829
9383,9581,1992,1108584727
9383,83505,1977,9593026794
8200,39905,1980,3142766243
8200,33642,2018,7926602140
6460,100,2022,1297673077
6460,17400,2004,8873012853
5035,95525,2014,7597294038
5035,40203,2003,0429834626
2040,97062,1990,5618122085
2040,15324,1976,0297218556
5615,97835,1993,8986854673
5615,7347,1983,9341485608
5319,28080,2020,4319109075
5319,97189,2014,6590148407
5319,50999,2005,3024804108
917,92571,1992,3201739809
917,29156,2006,4320279695
2195,37166,2019,1755182168
2195,91774,1979,8021852756
2195,42789,2024,7512226576
2944,28657,2020,3307692721
2944,38572,1988,6739633411
2944,42196,1997,3877673227
3277,76191,2013,4101490330
3277,4919,2007,5519278383
3277,43645,1992,7418353887
1514,41388,1991,2948598001
9531,38888,1985,0970928732
9531,10997,2006,9183716220
9531,50885,2017,7457841504
8205,52651,1976,2712509739
2705,94882,1985,1821842134
1953,19781,2009,4543531816
9250,60824,1984,0973807965
9250,27472,1975,8108598218
3429,47295,2020,1118223018
3429,11676,2002,6516800257
8477,57157,2019,0995677482
7903,92366,1994,3754477654
7903,74961,2015,9974050093
7903,46239,1992,5126933576
9332,26303,1977,4995953866
9332,3024,2013,7030951959
9332,91051,2020,0511605273
812,13355,1983,4341891362
812,10575,1970,1039823105
8388,9952,1980,9013338425
9586,72054,2024,7179095938
6615,3739,2023,5521869432
6615,38949,1982,1819395079
6615,43882,2016,6938766428
5685,24469,1982,6646135105
5685,97303,1977,8071015949
5685,90904,1971,9610585000
6666,84020,2012,8753090447
6666,14190,2024,4515304493
6666,33791,1998,4763279522
4010,71004,2020,6798671428
1501,61623,2024,5648608394
5698,2675,2021,9518903707
2223,94622,2006,6768960632
2223,66687,2022,4084068741
2223,12946,1999,1698878453
1780,11783,2004,8767951162
5181,19802,1993,5672704771
5181,55235,1988,0261072427
7755,62448,2018,6807706229
7755,54057,1981,3965539738
7755,55962,1971,1879963328
3033,30590,2003,7316158419
5319,24030,2006,4912303415
5319,20003,2023,5476043853
5319,26703,1975,1286237742
3229,58565,1982,7821725476
6636,14823,2007,0684238130
6636,89792,1979,8703489759
2008,81890,2021,4859953305
2008,19469,2019,8195253110
2008,19020,2017,4573713221
599,89419,1989,9412230530
599,30141,2015,1031241882
599,2675,1986,3635008452
7255,99551,1999,2082806554
7255,29332,2014,8225410454
7255,14575,2007,8498706854
4961,13897,1990,4944981133
2852,58118,1992,5777287079
160,41579,2015,4929370494
2287,74770,2018,3534119283
2101,93190,2002,2763710509
2564,95067,1998,4040677930
7978,66717,2000,0833717560
7978,74944,1973,1303652359
7978,23582,1984,9759475567
2540,5578,1979,7050345952
5667,47103,1979,0673648844
5667,89714,1990,7014871486
9066,55631,1979,7534510907
9066,37049,2002,5445973402
9780,26337,1976,1495108857
9780,13111,2017,0670858787
634,65337,2008,3150697774
634,14394,2005,6006502942
634,52282,2016,3605750080
7018,97332,2000,5328893064
7018,2379,1993,2867514343
7018,2455,2013,4198008038
5688,79132,2018,6131034565
5688,99266,2015,0047982731
5688,35421,1985,7746581623
9430,85408,1988,5891300345
9430,94871,2016,8416101712
9430,13382,1996,7867141058
7680,81616,1973,6772854513
7680,73433,1979,2330847950
3430,39468,2015,0821562299
8032,86229,2008,7658541296
3739,51528,2011,0752416612
3739,1337,1984,2639690515
3531,7545,2023,5293507799
3531,51524,2005,9557562115
9223,56674,2008,6161966217
9223,60706,1975,8903367724
9223,23675,1986,8718555178
944,26363,2011,0330536736
2794,65829,2016,8335527710
2794,92461,1995,5449062109
9839,4651,2019,8878935541
8123,10987,2003,5121109360
690,44132,1997,5743523877
690,34691,2020,2794490050
1731,90463,1993,0202561311
1731,42678,1978,7941837675
1731,66178,2004,4130092314
3725,2656,1978,5512602822
3725,85108,2004,0408483488
3725,40006,2023,4091931568
6491,13489,2014,3215767735
6491,75480,2000,3522235830
6491,90716,1996,4978535068
4600,20510,2024,7718047886
4600,17343,2006,2989454682
4600,87204,1981,3851235667
7410,29231,1987,8785556012
7410,34582,1976,8032791793
7410,54677,2013,9081770006
693,10669,1995,8065590105
693,65222,2007,9929603718
5766,12642,2004,4168691085
4108,66730,2000,4657484124
1780,59322,2005,4510388048
1780,87197,2021,5626275628
1780,73313,1974,9077308638
8952,35842,1972,8024503226
8747,6335,1973,6480969522
8747,31577,2003,9376634516
1739,64888,2011,3781154626
1739,97105,1996,4059035751
6066,9585,2000,5929269768
6066,74226,1972,8899139586
6066,34349,2024,1103485182
9688,26675,1973,1521345005
9688,42530,1991,4601951995
2672,45729,1990,1737361286
2672,22069,1982,5161836939
2819,82212,2011,6844963548
2819,89329,2008,5007643868
2819,14580,1984,8917677111
3523,3774,2016,5162881506
3523,74791,2021,1809458072
1382,28279,2019,1121587902
4107,94759,2018,8437748093
871,47456,1980,4479434679
7159,22800,1978,2781357389
7159,89953,1973,4718765215
1214,97720,2001,1193100973
1214,2913,2005,9015156179
1214,81835,2024,7052778017
3693,82917,1995,3098970445
3693,95579,1985,9799768659
3807,9201,2002,4430557742
3807,86591,2006,8469596160
7231,40486,1989,7456223032
8292,46211,2015,3433327301
8292,30402,2013,0661254575
8292,21144,1975,5713678459
5784,46692,1988,7006872457
1569,29454,2000,5967316860
1861,82433,1981,6453081300
1861,28064,2020,0727921646
1861,55609,1979,7553667489
5809,88491,1972,0095922140
5809,16608,2013,8771462625
5034,98583,1979,4728635792
5034,10087,2023,4223897413
5034,77844,2014,2358573325
1583,10259,1979,4298143042
1583,92716,1999,4612622593
1583,78345,1989,7996192211
4186,32627,2010,5655694015
4186,98030,2017,2738732522
4723,54461,2020,8819795811
8556,40847,2011,5139956308
9844,30766,2013,9141233572
9844,35366,1990,2782379069
3398,1532,1983,4650691841
3398,51365,1982,7577640318
3398,16697,2008,5446787390
63,48934,1976,1909803045
8092,23762,2011,6168764597
8145,59639,2022,0932649214
8145,53077,1986,9398094014
9133,16345,1985,1498145902
9133,14125,1972,8718921170
9133,86905,1973,1592505586
8375,91866,1975,5118069492
8375,5582,1993,5095977641
8375,64205,2020,6053843280
1160,3438,2020,1806698705
1160,67884,1990,5852411919
1363,82020,2021,8051369753
1363,61326,2013,7357418218
4271,61847,1972,7025630404
4271,34630,2022,9985928880
4271,45830,2014,7117680164
3221,34890,1989,6998828045
8355,27101,2012,9760587007
8355,70723,1999,9938378841
3763,95659,1996,1325228426
3763,11328,1990,5081916702
4641,86795,1982,0634465880
4641,22674,1976,4513864110
4641,3544,2006,9389078959
850,35511,1993,6333353261
850,30384,2017,9755029269
850,39052,2006,7774869636
4765,53801,1978,8475567640
6141,34924,1990,3288680711
2623,34349,1995,1382308628
2623,79954,2009,1893120989
4662,487,2020,0596277459
4662,53596,2016,8036694988
8939,22779,1977,5576001284
2441,55636,2012,9274266051
2441,86284,2013,5857053166
2441,39744,2013,9174714279
2841,4090,1993,1715956005
5319,89706,2022,3517475533
5319,25992,2023,4095865441
5319,99039,2005,0557019338
8761,51098,2017,8796958634
8761,28928,1998,5228008138
8761,9164,1999,6872735211
2707,24871,1991,9759629422
2426,51051,2018,7436267945
3209,15237,2008,9200549475
3209,12112,2003,3922779448
3209,99224,2000,0344121578
1070,56391,1977,7085581930
6153,29076,1998,9856965155
8980,65256,2017,0231632072
8980,99119,1985,8752282587
8980,17183,2024,0822656175
9827,37948,1995,7888159378
9827,13561,1981,7871328271
9827,90724,1978,0950616067
381,9358,2018,3487325458
381,37142,1987,4302865636
381,45093,2014,2448623133
9494,53,1976,5524388632
9494,85250,2006,5292196258
7760,61429,1985,0728749282
4581,8942,2010,4576746220
1427,25209,2001,9496012418
1427,53906,2022,3158736439
1427,8492,2012,0346243282
611,17671,2017,0117337918
4634,76897,2012,9176388254
4634,45003,1981,7462451103
4634,59339,2014,1666125380
7518,71131,1997,6355473519
5481,49788,2012,1205331730
5481,39237,2005,8961137398
5481,36884,1976,6734771220
5963,28385,2014,6983532183
3146,74177,1988,0370949978
3146,94688,1999,0548188873
6162,21409,1985,4915661710
6162,10538,1995,1955741778
2869,60072,1999,3101161429
2869,15917,1976,6447633250
2869,19326,2010,6539680986
9382,58007,2001,3613724590
9382,88589,1995,8368754671
6957,7097,1979,7402103487
6957,79561,2000,9581829576
6957,92635,1971,2735180091
7278,57798,1974,9278845188
1726,3385,1986,5393946991
1726,37321,1984,3494259395
1726,34267,2021,5290503965
2852,82437,2000,1452470131
2852,30012,1996,0249411696
2852,80770,2004,8899885296
3782,89822,1981,7652707573
7721,37444,2014,7172986302
7721,84226,1977,5589578931
4182,71464,1987,0361527152
4182,56753,2015,6064379431
3276,91041,1971,2508172383
3276,29172,2023,6369843207
7300,56296,1970,0768738516
7300,52649,2021,7738224490
7300,71589,1972,2785773537
9639,65442,2008,2377807917
9639,28701,2020,8531845973
6801,59751,1992,0335552205
6801,53906,1987,7933950402
6801,65656,1992,6036753413
9080,57662,2011,9401708069
9080,27109,1972,8229652649
949,58465,2021,2068486295
949,26166,2014,7339778894
2646,70433,2004,8755681440
6190,8972,1983,2147178080
4166,1642,1979,4498745618
3669,42695,1981,9224285428
3669,24443,2023,4184857195
4819,80429,1994,0906321252
4819,36474,2012,2459017223
4819,66047,2000,1553460343
2440,11527,2010,2018297595
2440,17475,1997,8639826865
2440,26308,2014,9860178121
8869,54951,2006,5049192169
8869,72618,1972,6382045141
8869,12863,1971,2218055719
3384,83282,1989,3908574205
3384,98732,2014,8351418775
5308,7755,2021,3924176546
5308,15289,2013,3753580319
5308,60944,1989,3651008614
9044,10699,2021,3744483705
2467,34563,1997,7066339259
2467,8305,2017,5267692458
4893,78503,1983,1725846217
4893,42243,1986,7410699257
4893,45525,2000,5736195892
8308,31488,2008,1471791316
9307,36577,2007,3474865332
9307,36139,1975,4232090285
9307,20416,2006,1342122910
2248,8113,2019,7934927508
2248,17917,1989,4719399179
2248,13035,1996,4357147579
1331,10510,2024,6851917921
1331,23790,1977,0307645542
7575,96326,2006,8005047579
7575,53596,1970,8299576499
7575,13668,2009,4997704462
6962,69085,2008,6091929936
6962,67165,2008,7689715874
8453,43139,1985,2287820668
8453,54164,1982,3770620943
8453,21032,2009,4590168309
8985,90987,1983,0107074240
8985,27472,1977,7579469866
7213,8312,1971,5914755297
7213,4028,2015,7591635547
7213,49388,2022,2862411355
7581,81389,2016,8925308212
7581,43766,2019,7498095781
671,32860,1988,4570005533
671,18299,1985,6766647043
671,12272,1995,0755238576
9167,84024,1990,5877327117
9167,63518,1998,5788109589
3584,93265,1984,4451245233
3584,78848,2022,6238326208
9278,18486,1971,4835275949
4884,84090,1998,2638809777
142,49181,2012,3287911960
1956,13133,1975,1326229364
1956,37941,1992,1148266360
6632,37767,1997,3717612080
6632,24441,1979,7494046029
6632,58926,1980,4074908683
6397,27916,2019,3573895217
6397,72627,1989,8608056595
5190,88684,1970,6576804999
1231,35969,1980,4493585094
1231,79937,1983,1755258575
5818,72026,2021,9615988257
5818,80247,2000,9173679901
464,99866,2011,5307292884
464,59364,1989,4376511821
9921,40794,1979,9390724512
9536,77254,2007,6903236058
7382,33910,1988,7331057173
7382,81611,1970,3934918376
9752,8,1983,3902673966
9752,75737,2004,7026894020
2409,61134,2004,9294290785
3443,78219,1979,7829218952
5454,99106,1994,5765753934
5454,19859,2023,2448818763
5454,16758,2009,1313019309
8788,33372,1972,3256829364
9782,67301,1970,1895933354
9782,31007,1975,4643995483
7570,71037,2021,5293562044
7570,45977,2017,2311538627
7570,32199,2016,2069016391
1764,49143,1982,9023848626
9009,29677,2008,9101237674
9467,98308,2001,9642411862
9467,91484,1971,7374916927
9467,135,1971,9606277340
3738,74152,2007,6996794049
8430,38315,1972,4960075822
2100,22839,1975,6432903480
3807,96410,2000,1690083460
3807,57215,2000,9176321099
3270,63418,2021,9616865787
9954,76331,2013,6551852565
9954,91100,1994,2611830643
9954,66921,2017,3002332023
3503,15420,1999,2865424652
3503,37192,2017,0148614118
3503,18384,2003,7316035194
182,17968,1983,1532071656
182,32820,1991,4533450642
182,48668,1992,9102855627
5605,74497,1983,2305144047
5605,35583,1993,1426189538
5605,82875,2019,3127870292
5706,87124,2014,7523364518
9287,14575,1970,8458359326
9287,50859,2010,5912909566
9287,60123,2007,9578092401
7032,43604,2024,9572660519
7032,54143,1977,1906517901
7032,30504,1993,6714634630
9378,94363,2020,8918677870
9378,75427,2007,8257411716
5484,12541,2005,0740911076
4041,73158,1993,4151970713
4041,39297,2006,9180682298
3858,90987,1972,0992935695
5920,68953,2006,2542637939
5920,76983,2004,7015873211
5920,40650,1980,0383857797
565,28242,1988,5077223574
565,39746,2016,9013961452
4020,71763,2009,2557250085
4020,62602,1980,5604709420
7118,60913,2006,9487632048
4108,94932,2006,1142462085
4108,35097,2008,9760520192
5016,33840,2004,0477627452
2629,99622,2012,4655172023
2629,68602,2001,5584778531
2629,7857,1986,3816242067
2255,64569,2004,8329242015
2255,71258,1990,6428475071
2255,56957,2019,8600182171
8102,43180,2000,6990388396
8102,31866,1984,2842617873
8102,8242,1979,2978273758
7600,93832,1971,2910759267
1421,23675,1992,5165811682
1421,86730,2018,3021094363
1421,10510,2006,6147757790
3296,28575,1997,1833930879
3296,71540,2014,0886910121
3296,88607,1995,9109257035
1181,13085,1994,0400644725
1181,34430,1976,2456279357
1181,67816,1997,9772995522
3779,68016,2003,2559638663
3779,1539,2021,6612377709
3779,73140,1987,7436491238
2529,97400,2013,9450299607
8377,22329,2006,7681888499
8377,34179,1993,6125823022
8377,39349,2008,9590006605
2790,69319,2002,1692289239
2790,70253,2012,1403627750
2790,15835,2000,6485092434
627,34088,1987,8505023869
7489,60284,1991,1726821298
7489,18162,1976,4336980469
5756,50172,1989,3455184796
5756,73645,2013,7706947549
5756,87244,1994,1529825589
5632,92733,1979,0923179611
5632,42918,1976,7941957915
5632,83553,2011,8728542736
6561,38592,2021,4485524859
6561,43614,1977,3677715872
6561,91864,1998,3426915402
7214,56171,1993,6088499968
7214,4796,2017,0989524441
5243,78575,2009,3172291796
5243,93065,2003,1949590658
5160,936,1979,1056275560
1339,87488,2013,5238859687
1339,548,2011,5824772707
1339,68359,1998,9280550860
2884,29991,1975,6028716876
2884,73807,2003,8578567105
8333,91399,2021,7561768640
8333,40358,2004,0956689226
8333,93383,2000,9325603011
8836,52997,1993,7457470616
8836,76517,1973,1274637189
8836,71058,1997,5752873954
989,24030,2015,1582914860
6985,77801,1986,7016025482
6985,26896,2021,1154649524
6985,29805,1974,2932291206
4866,93380,1990,7445576943
4866,21527,2009,4901554855
6145,62448,2004,8580476121
6145,94010,2010,9921439858
6145,97120,1974,9009137334
8894,91219,2007,5529772240
7436,77109,1977,3786732918
