CustomerNo,SalesOrg,DistributionCh,Division,PartnerFunction,PartnerCounter
11081,3125,4957,6071,oRAcB,1647
52727,80,5652,2578,UtTyI,9344
10657,5520,3648,2333,kdreq,7434
90754,5465,6456,2507,LKBJn,5697
90754,5465,6456,2507,qbUpG,3195
27561,1223,4321,9288,CtRej,2854
90467,962,509,4165,fXWDs,1518
14671,4222,5252,9255,JVEwf,3668
14671,4222,5252,9255,wqToa,7886
14671,4222,5252,9255,sNChv,32
50813,4244,2955,5269,kxYsW,2923
50813,4244,2955,5269,xeIbv,1851
20502,2987,2110,1686,yayNV,6301
20502,2987,2110,1686,BYroj,2902
20502,2987,2110,1686,VdOvc,3681
23110,6736,3900,6648,Dyhpb,6647
23110,6736,3900,6648,cEfVs,8640
23110,6736,3900,6648,OpJtx,5181
18802,4038,8520,1463,pgUYB,9864
18802,4038,8520,1463,vRDuJ,9277
12618,8345,2850,2616,XWRnS,8335
12618,8345,2850,2616,NOkub,6537
66425,1777,9331,1585,wwqvZ,7088
66425,1777,9331,1585,JRrTe,2585
69770,6396,7446,2725,SaUUN,730
6076,4801,6229,7102,iZwtq,5011
6076,4801,6229,7102,zdJyW,8176
45925,5645,4852,935,icDUc,1748
45925,5645,4852,935,cELzN,9373
47498,5246,1851,9328,Ofrxj,5489
47498,5246,1851,9328,ZkZcd,1646
33013,4268,9947,3713,mIute,6257
33013,4268,9947,3713,rOIML,1280
22278,5469,2371,3737,HfOxA,1166
22278,5469,2371,3737,gsWMG,6852
22278,5469,2371,3737,ZDrLb,279
63598,2763,4960,5102,ZIvhO,1127
63598,2763,4960,5102,GDBrA,7874
63598,2763,4960,5102,iTopU,5963
62681,5844,4292,9468,aliml,4072
62681,5844,4292,9468,UrppB,6275
62681,5844,4292,9468,xJXgp,3728
95262,9309,2408,200,Kpijy,5222
62720,1671,840,9479,UHeww,9861
62720,1671,840,9479,KtthP,791
62720,1671,840,9479,wtBDM,4818
76083,8687,9512,6822,biPpe,7229
76083,8687,9512,6822,HULwo,5525
76083,8687,9512,6822,dKrpC,5353
67020,5129,4418,679,qNqSu,4821
84709,4691,8845,1057,ARZra,3202
44625,6842,8290,4094,QaThu,1013
63631,9005,4007,3953,pmRrC,738
63631,9005,4007,3953,WgdlU,1743
64927,4970,6765,2904,OhhdK,1076
64927,4970,6765,2904,RIRgx,1940
64927,4970,6765,2904,LHHYr,3991
85535,8890,4060,3257,JSHkR,5952
85535,8890,4060,3257,qWOpe,2443
85535,8890,4060,3257,UnKaw,1294
21733,7446,7946,0,kmOYi,4056
13595,601,8997,2000,fpVVd,1721
13595,601,8997,2000,pwSzk,2751
13595,601,8997,2000,LnZVD,9248
9304,8489,9974,7039,pvsSp,9586
9304,8489,9974,7039,qowHM,4094
13028,163,3570,2107,eMIAb,3330
75364,3862,1560,4819,hZPjh,6401
75364,3862,1560,4819,WExIF,5203
99421,6494,2165,2131,ASuSA,8013
25010,4623,9549,2590,BpnAx,1587
2950,7280,9276,7073,BLVMy,5946
79021,1556,3449,9441,YeBVZ,3271
5615,7441,1986,7269,GowbJ,3013
5615,7441,1986,7269,BSYyC,1759
14912,2694,9631,9153,IWxrY,1931
14912,2694,9631,9153,rFZAv,2026
32297,420,3814,5035,qOgnd,7366
32297,420,3814,5035,keLpb,8138
97025,4620,9085,9997,kObyx,6090
97025,4620,9085,9997,AYfUG,4434
35204,5659,2941,3676,bNtez,6974
35204,5659,2941,3676,ufMtO,9664
47507,9939,6318,5854,aeZez,3696
47507,9939,6318,5854,CwcCC,1249
47507,9939,6318,5854,IoBLY,4497
50293,374,7483,9648,DEmEJ,8274
50293,374,7483,9648,mvGwa,2041
50293,374,7483,9648,LYnku,1419
53898,7886,3445,1584,WwIUm,1600
53898,7886,3445,1584,AdyAI,7321
53898,7886,3445,1584,eEhge,5102
64068,2911,4824,3126,ZNczU,2045
5376,3308,3928,4631,AVDCc,355
5376,3308,3928,4631,bZAfJ,281
57281,3387,2847,9563,khvpP,4788
57281,3387,2847,9563,fRIqN,3521
39935,9015,6724,7099,NmtpK,862
39935,9015,6724,7099,FcIQp,3985
39935,9015,6724,7099,xDQnx,9827
97285,6436,8649,4021,AlwhE,7795
97285,6436,8649,4021,PeEGs,3445
97285,6436,8649,4021,JMWeH,4310
6102,2071,8960,5217,fCYrt,7798
6102,2071,8960,5217,GOrbT,9379
20713,9151,656,1080,ZLaYd,7199
20713,9151,656,1080,beBuP,784
70315,2911,8234,2807,vZQrF,2041
70315,2911,8234,2807,aoDqP,759
3288,1381,7316,7340,BBGBd,3391
3288,1381,7316,7340,lRxiY,9810
3288,1381,7316,7340,Qrhdn,7294
96866,9554,7893,2560,rSICt,2460
96866,9554,7893,2560,kAgko,3317
61442,7959,6045,5333,VJpSd,5618
69724,5149,3785,4472,wxgaU,9035
69724,5149,3785,4472,JRZTP,2724
13811,1422,2101,2261,jGPSB,1966
13811,1422,2101,2261,EQbDN,252
61553,3114,5934,462,Fgkhd,2254
59585,1714,2649,8452,Jfyle,8849
2462,1197,63,1507,hxEKz,9477
2462,1197,63,1507,wWXQW,9958
2462,1197,63,1507,RTHYd,9283
33483,4531,9507,4825,fFzyo,1675
33483,4531,9507,4825,dMwYq,8291
33483,4531,9507,4825,wseKo,6009
52849,6734,7062,4955,rRbBT,7662
52849,6734,7062,4955,uNbGp,2265
31840,5351,2393,5550,MosPO,3877
60567,9761,9165,4989,BXzXL,1206
53850,4035,3776,3217,wUfBf,6940
53850,4035,3776,3217,SmBDe,4647
91561,7906,1622,4347,Jwusd,5904
86367,1661,5422,779,pDSkR,1233
73403,7026,2576,9915,gWdgo,4146
73403,7026,2576,9915,uNAdi,4016
73403,7026,2576,9915,QnRXa,957
6671,3198,8148,8184,VgMrZ,9779
24607,3634,734,9298,nVaLA,3290
24607,3634,734,9298,iZUOX,4755
63290,3545,1115,207,qEDmI,6992
63290,3545,1115,207,bOoEv,4565
99416,8827,6242,1693,ZRLmA,3990
50306,4283,5809,7090,qYKce,8565
50306,4283,5809,7090,tmMJB,4528
23848,5483,9982,1937,dwFsC,315
23848,5483,9982,1937,yweDa,2543
22875,3438,4632,6591,rTUjr,9549
22875,3438,4632,6591,wNSxW,9123
22875,3438,4632,6591,RajgH,725
12037,7141,7092,3713,HPjfz,4630
12037,7141,7092,3713,zaLFp,8494
12037,7141,7092,3713,jhLpp,374
31615,4584,8555,5190,AtfcK,5082
31615,4584,8555,5190,HABMp,1569
60473,484,2316,2752,amhWq,1885
60473,484,2316,2752,YcLPa,5264
60473,484,2316,2752,DeBTJ,7411
61347,3015,1618,4482,ElHtM,3264
87631,224,6468,4437,sRULw,9006
87631,224,6468,4437,agEXi,5448
87631,224,6468,4437,ajgJE,6251
40689,533,3234,7941,TeBZP,4467
12452,8142,4094,193,NTqmc,4843
94772,4325,1648,3576,fKyMK,5862
94772,4325,1648,3576,ujLtk,6876
74564,789,8073,4545,vRnnf,9245
74564,789,8073,4545,tptEj,8992
4978,8412,6443,3437,STeeo,4393
4978,8412,6443,3437,NRKBQ,942
10555,2876,3311,4850,SdvLm,1500
10555,2876,3311,4850,PJQXw,4971
10555,2876,3311,4850,weXYB,7874
76014,9512,1964,3796,dkEDV,9362
76014,9512,1964,3796,lgimK,336
68894,6734,6215,2570,fsuwe,3975
68894,6734,6215,2570,iGsNA,2301
54788,1462,5111,5530,jSLvY,4670
54788,1462,5111,5530,nrITG,9023
54788,1462,5111,5530,zAjdf,2484
26957,5463,2877,8830,KpbyR,448
26957,5463,2877,8830,kmdfX,3163
26957,5463,2877,8830,uxthJ,8862
38296,4337,5754,6319,oxIZg,9469
38296,4337,5754,6319,nhjPG,5525
38296,4337,5754,6319,HZxyB,393
30910,5496,7318,7766,BrfmP,1937
30910,5496,7318,7766,stxKv,7268
51984,4890,4692,2684,JyeqL,3993
74796,5673,2197,7373,sTfAs,4675
67318,6154,1420,6030,boGUI,844
97724,4094,5113,6365,yRdqy,7805
97724,4094,5113,6365,eJySS,8905
28928,3899,1005,241,yhJxd,6844
28928,3899,1005,241,oZICr,2911
28928,3899,1005,241,MRDpL,9258
38762,3480,7724,1990,njaDz,6439
38762,3480,7724,1990,TULqJ,6577
21252,3714,3233,6731,TTYhR,2915
930,265,5538,9455,HOwYU,7195
60132,7730,9514,3493,VFZsm,468
60132,7730,9514,3493,rtzwV,7628
4467,7591,3338,5415,veAiz,2056
4467,7591,3338,5415,nLHMS,2872
4467,7591,3338,5415,xOaae,1734
96272,5179,9705,3451,oXOuA,9602
96272,5179,9705,3451,yhXey,9218
96272,5179,9705,3451,KFubk,1818
41181,4659,3161,9591,eTLps,1567
41181,4659,3161,9591,dLTTr,9178
41181,4659,3161,9591,XVXSy,4237
76837,8575,3239,3935,dXWed,7538
76837,8575,3239,3935,pDitG,6498
76837,8575,3239,3935,BYhsi,6359
90579,6845,6534,5698,BPGNT,9305
90579,6845,6534,5698,qxzTQ,3723
90579,6845,6534,5698,TXxtY,9682
29943,137,3441,1012,zSNNn,922
78139,948,6851,5698,fqSMG,8492
78139,948,6851,5698,YtANS,797
79035,9622,1757,140,sDoNI,4002
62301,3356,9620,2836,WwttB,2375
62301,3356,9620,2836,gGwUa,182
69033,6270,8595,954,sQtpq,7437
53624,5315,4239,7558,FfcRZ,6229
23262,7217,488,420,Vskuf,1723
23262,7217,488,420,ZVNvt,4687
29544,4654,2520,6362,chyNv,9947
45858,7131,5373,9580,UNaUO,6844
45858,7131,5373,9580,DBRCG,5706
45858,7131,5373,9580,Lvgbq,1029
29734,7882,2333,2803,eLPko,2962
48286,5867,6371,5426,vjNzG,6965
48286,5867,6371,5426,ihJna,3448
61847,5274,4485,5757,sBepN,2450
60751,288,5683,6671,GbmpF,3540
60751,288,5683,6671,JnlBP,5822
45640,1741,8915,3411,FnyPv,3971
32591,3820,9220,1850,XeBtZ,4923
94070,7732,3328,1453,ubVKY,3963
33231,6243,4777,1652,nYnLG,4899
66550,2728,1304,3489,EsmPm,6182
16834,719,2458,3840,bQaNY,6228
89703,4661,4726,9656,IHrOd,8852
89703,4661,4726,9656,qqJrz,1451
89703,4661,4726,9656,xwNvQ,5584
53387,6037,8813,9694,YURzQ,57
16023,9862,9174,6455,rRvqu,4147
16023,9862,9174,6455,NZOzs,8814
16023,9862,9174,6455,ewsAW,7104
38014,1657,7615,9516,uuXWF,2449
38014,1657,7615,9516,SxBnm,47
55001,494,5919,2069,MaoUJ,3502
41887,9244,7837,1549,pUSfi,4145
41887,9244,7837,1549,nkFYI,7348
13832,5372,2229,3897,UYoZD,3250
13832,5372,2229,3897,HkgJD,1669
13832,5372,2229,3897,YNxDC,9335
57024,9277,7936,473,ovpeZ,3232
57024,9277,7936,473,wTZiA,3851
84969,1457,9875,2483,vJzMt,2894
12551,3238,7515,6829,DlLBy,8642
12551,3238,7515,6829,COAlS,9900
12551,3238,7515,6829,iRLwQ,4804
79552,7010,9597,658,RwwNb,7959
95714,5239,3051,2523,EgAUY,8905
74261,3049,5254,4486,kpZRw,1976
74261,3049,5254,4486,fbeFK,3929
50902,1868,5511,7336,ajOnT,451
21767,7175,9954,7910,pCyOW,8270
21767,7175,9954,7910,jgjHR,1889
11458,760,5856,5670,WyhDs,8189
46610,6187,6137,8256,fGMha,5025
46610,6187,6137,8256,aWPlC,2381
95476,8039,8234,3007,nxTqo,5220
93323,9783,3380,2713,mINto,7690
93323,9783,3380,2713,rGPUD,1951
93323,9783,3380,2713,mvBsy,9245
51500,4126,5233,8123,eMAoB,8780
51500,4126,5233,8123,vZCIS,328
32198,2652,6092,7046,cenkm,8636
32198,2652,6092,7046,pgAuo,203
32198,2652,6092,7046,vbVgy,4288
3202,85,2554,5701,BxHdr,6886
87491,8857,4502,8709,xKizF,7787
87491,8857,4502,8709,vVDNx,4139
13513,3748,8952,3376,YccEy,2011
13513,3748,8952,3376,nLjCi,7994
13513,3748,8952,3376,lqDTv,32
24893,3519,752,9199,KQvgz,7591
24893,3519,752,9199,YMyPR,434
24893,3519,752,9199,DoNto,9334
99150,5714,6060,5670,yoWhs,4305
99150,5714,6060,5670,RAGKp,5774
58065,5356,3479,58,GCxJw,2687
58065,5356,3479,58,gXnbM,9108
58065,5356,3479,58,TeRFT,2210
33428,3521,5749,870,obAKq,3367
87258,876,7050,4881,ctDFz,9077
87258,876,7050,4881,JRVlp,8465
87258,876,7050,4881,lwkIM,4310
19370,2118,7494,1396,YfziE,8924
19370,2118,7494,1396,JTMnA,8131
37631,4297,7560,3881,oVWWG,3680
37631,4297,7560,3881,PtiyP,6940
37631,4297,7560,3881,RmMRN,2756
72570,7290,2146,3189,TeRmU,344
72570,7290,2146,3189,zRPnQ,9210
72570,7290,2146,3189,zZriI,6184
38627,689,1944,560,SucSG,6895
38627,689,1944,560,SUcWj,9550
38627,689,1944,560,erXyv,4384
299,7258,1522,1788,aSQmE,4336
299,7258,1522,1788,CcBqk,2470
299,7258,1522,1788,dzthZ,5917
37206,9287,8627,6383,sGJCa,5180
37206,9287,8627,6383,NYSFh,4209
37206,9287,8627,6383,vxkTv,1429
93705,9057,1014,1173,bUUWb,9513
414,3681,9195,2863,GDXBG,4485
45070,2521,8888,7273,ZQwjI,5558
45070,2521,8888,7273,AKNvB,9955
4421,8358,1613,7130,dvpVQ,9160
4421,8358,1613,7130,jdfCW,7639
86813,6540,3032,9954,AYLEU,3198
86813,6540,3032,9954,Gkjrw,2875
86813,6540,3032,9954,eVnKG,3368
63626,9878,5055,266,dGUub,965
63626,9878,5055,266,uGKpd,2055
63626,9878,5055,266,XHIXF,399
70235,6814,841,2866,kNtKT,4454
70235,6814,841,2866,AlnRd,6311
3230,9780,9567,3650,eMbFK,8129
3230,9780,9567,3650,EzSob,6015
58008,9562,9463,5281,GJWmh,5083
58008,9562,9463,5281,icLHb,6139
46678,2607,6000,5930,nfYgn,840
46678,2607,6000,5930,mQdXh,1752
46678,2607,6000,5930,ynRmo,294
16339,5604,913,7673,oIyUE,1563
16339,5604,913,7673,mbhDs,3357
16339,5604,913,7673,soqKq,9075
5424,7023,6819,4427,QWJxS,5012
3560,2075,4487,1264,yNuKH,9398
54543,1416,1874,5096,pjXPy,9807
54543,1416,1874,5096,wChcB,40
69504,9479,1407,8861,LwWdM,4118
69504,9479,1407,8861,ugIci,1947
10255,6958,8657,1089,PiRjA,5088
10255,6958,8657,1089,ezPIa,2883
85044,7870,9496,6540,JLiAI,3210
85044,7870,9496,6540,rywIX,5502
53440,9355,4013,4688,XznuB,512
12775,6953,5300,7882,JdUhR,6247
12775,6953,5300,7882,EqVLQ,4552
12539,523,1332,2190,sfOgW,8504
12539,523,1332,2190,HQXbT,9619
12539,523,1332,2190,VTCrc,6517
87132,3953,7357,1578,LNTNL,4577
87132,3953,7357,1578,oFUsE,4509
87132,3953,7357,1578,nNMuH,8879
97746,2397,1845,3247,AOKpV,3022
84448,915,5233,677,MvoHg,4272
84448,915,5233,677,xYPhX,1723
84448,915,5233,677,brASh,3930
30624,9991,8985,4064,QrMfN,1070
30624,9991,8985,4064,VCLVH,7472
30624,9991,8985,4064,hEGYH,5863
30015,1327,5326,847,vTdIq,1287
30015,1327,5326,847,YKqTo,474
30015,1327,5326,847,lMadX,3959
58180,6254,2102,324,uxEBy,2154
58180,6254,2102,324,dIlzA,1843
58180,6254,2102,324,xUbXu,2734
59077,8360,707,4207,wGWNP,9092
59077,8360,707,4207,cMUBk,8756
59077,8360,707,4207,svYGW,5259
17029,7568,4825,9773,CxZJO,2013
17029,7568,4825,9773,pAUni,317
84048,2430,1349,3944,JEHfE,8135
14186,8377,2135,6860,zGDDX,2891
61933,6116,600,3775,NcTFM,7097
5848,9373,2195,372,biDUq,9068
5848,9373,2195,372,WSWpX,742
4892,4911,7828,8340,rbkxD,2910
4892,4911,7828,8340,BSzIy,1975
4892,4911,7828,8340,CmAtW,865
31414,6210,7607,9044,UfYSq,9756
31414,6210,7607,9044,gcTIB,1866
40849,4103,3261,3663,NuCNQ,9817
40849,4103,3261,3663,zsGBf,5634
7568,1462,816,4630,Yiiut,5332
7568,1462,816,4630,gjeAj,192
7568,1462,816,4630,ELhwY,3919
63466,3589,1530,5199,OKiwY,9729
63466,3589,1530,5199,LOdMv,4082
85870,5237,6269,4597,iITcy,9896
85870,5237,6269,4597,HhHaW,8627
85870,5237,6269,4597,SXVfY,2003
6818,2981,6055,8437,fELuf,1524
6818,2981,6055,8437,LGYVE,7418
78526,9912,2981,4585,FGQNb,2490
78526,9912,2981,4585,GJdHE,1756
78526,9912,2981,4585,vWJec,2461
9701,6884,3015,6132,KNNMs,7077
9701,6884,3015,6132,CWyRx,3298
73808,4476,8468,1221,FJVue,4953
73808,4476,8468,1221,Mrpur,3675
72896,7073,9742,9936,GBylu,6623
72896,7073,9742,9936,tTdDo,1267
67877,3288,3470,6653,WMluI,7937
95535,7946,4683,8697,oTqPH,801
95535,7946,4683,8697,JWdjJ,7448
5985,5159,9057,6326,VIAvV,6421
94578,517,5316,7227,tbffh,3561
9077,5431,8588,7315,XZrHC,4985
60330,1947,2614,4045,wuthB,3179
4459,2354,5130,4015,nYjzM,3266
67625,1820,7603,4603,RbXEg,6051
67625,1820,7603,4603,XmbKm,4566
52608,4053,8501,139,SCDcW,9607
52608,4053,8501,139,UPnhL,4688
47379,3206,5807,1485,yrOBB,1799
47379,3206,5807,1485,ymvZU,9587
47379,3206,5807,1485,axWtI,7665
23256,7856,6216,6786,coOwy,7184
23256,7856,6216,6786,xrrAH,1351
13312,1480,9246,1177,IQuWX,3124
13312,1480,9246,1177,PLRHM,8861
99672,3347,1937,4797,ACMiV,8065
43547,9087,6761,6773,POhpU,7916
43547,9087,6761,6773,LafiM,8244
26585,6059,262,3694,KouSp,7850
26585,6059,262,3694,OmIWh,1157
26585,6059,262,3694,LDVBI,6873
45476,5578,9197,9221,GPAlI,6332
45476,5578,9197,9221,AreDd,7999
76313,5264,6320,4864,bTYoa,7968
76313,5264,6320,4864,RACYJ,4955
43157,3021,5502,4809,ALxWQ,8902
43157,3021,5502,4809,vrsXI,228
25790,7847,6317,2924,ahQZR,8765
99025,8318,6185,66,tBGqY,812
99419,7191,5110,6276,EAPPi,9451
99419,7191,5110,6276,DbyWS,1353
75678,2878,8166,804,ACUQZ,4537
75678,2878,8166,804,cweCn,9557
75678,2878,8166,804,xHPQh,3475
20241,7507,4175,1563,CLLww,770
20241,7507,4175,1563,SbgVb,8667
49372,8069,2673,4058,DJglJ,8166
49372,8069,2673,4058,lvUaZ,7795
49372,8069,2673,4058,HbSmZ,2673
19312,3242,3796,4398,VNkmA,6815
19312,3242,3796,4398,bnmyB,7986
19312,3242,3796,4398,WRzDe,9885
18746,749,1186,4370,yPRLv,3604
18746,749,1186,4370,cTOAc,1037
85831,9331,4671,5452,KhaTu,9971
85831,9331,4671,5452,zRIiY,4760
85831,9331,4671,5452,KftRq,5819
22009,2595,7149,928,RrtQE,4340
86311,3507,5200,5173,VTMWO,1514
71927,4328,7410,8625,sVPpo,9855
71927,4328,7410,8625,eRgPs,2021
71927,4328,7410,8625,dtwcf,9540
72559,4359,6969,145,xPumQ,8621
72559,4359,6969,145,kEuHA,7532
60645,1823,86,6342,YrneQ,8329
60645,1823,86,6342,lIWUi,5619
60645,1823,86,6342,lVugn,7133
40085,504,4224,8307,hlEuo,8739
40085,504,4224,8307,uVezY,9086
40085,504,4224,8307,nceCO,1785
703,6389,3368,3621,bUivZ,418
77944,4380,1523,9426,VdgPA,5431
66482,9221,4251,6031,FGGML,7310
66482,9221,4251,6031,FfNSS,4594
66482,9221,4251,6031,JyPzx,2732
27592,7278,9894,6642,pXtGj,4260
27592,7278,9894,6642,osqDM,5576
27592,7278,9894,6642,OPvbk,2790
40898,7439,9777,8195,cupwR,8181
40898,7439,9777,8195,rSIdN,5629
19511,9747,9232,9316,fvbzE,7689
19511,9747,9232,9316,QodQR,8167
19511,9747,9232,9316,sqCGO,3237
71998,8083,1996,7085,VsSQO,889
71998,8083,1996,7085,nuaFn,69
71998,8083,1996,7085,eqVTT,5886
91026,8740,9323,7032,PyhYk,1631
91026,8740,9323,7032,lxuBa,6778
47510,4793,3195,1141,cYLDt,3117
47510,4793,3195,1141,TgsJI,6014
47510,4793,3195,1141,kioYl,8452
60665,2899,9596,2150,YmzYq,6079
36862,1795,4920,8001,FZBua,3115
36862,1795,4920,8001,lvfIf,1403
11467,3140,5540,2428,YyenI,5856
11467,3140,5540,2428,vZkFA,5572
11467,3140,5540,2428,hKTqh,2842
64719,4923,2197,7615,BRamT,5965
36529,227,3570,6355,sFdXq,5169
36529,227,3570,6355,ljjpE,2487
47197,8747,4883,2778,nlGJG,5609
47197,8747,4883,2778,GbrwT,5406
47197,8747,4883,2778,HeBma,9199
13820,3014,6555,3852,BKauF,1931
13820,3014,6555,3852,Egfhj,5223
39526,367,841,547,cbycL,1381
39526,367,841,547,lixDy,3204
10584,3231,3009,6763,sWtAO,3875
10584,3231,3009,6763,BkzLC,5359
53066,2758,5201,7100,YQDyu,7830
53066,2758,5201,7100,cVrch,2
53066,2758,5201,7100,oQbhR,1046
63120,6377,9406,4918,GFZVT,6982
90159,2850,9466,6679,WccHb,3697
90159,2850,9466,6679,ylTyV,4969
90159,2850,9466,6679,wVAEB,1835
74829,955,3111,3904,VsrmG,7485
74829,955,3111,3904,KlVFb,8981
74829,955,3111,3904,KSRKb,9159
26287,4519,6324,6755,XytlM,7311
26287,4519,6324,6755,VENxl,5602
26287,4519,6324,6755,GcJkv,7401
34725,5795,8864,5963,yHDhP,1123
34725,5795,8864,5963,wRrKw,7541
94124,3384,5513,4032,UzLON,6082
94124,3384,5513,4032,pLHnj,4384
99796,4963,6064,6539,jAHgh,5103
99796,4963,6064,6539,saXvT,9059
24074,9651,8627,4748,NNkwi,4416
24074,9651,8627,4748,wAVoJ,5362
57053,5338,2363,7533,uvtub,2066
57053,5338,2363,7533,pyxtV,5244
57053,5338,2363,7533,EIKoB,8546
37113,1075,523,2276,YXeAi,4365
37113,1075,523,2276,pVsXd,4363
56347,524,7637,8900,kgZnN,2330
56347,524,7637,8900,uXlwW,9479
8786,1842,6913,4017,kKFMl,6784
75488,889,5767,411,VLxCp,8518
75488,889,5767,411,gwlPI,2907
28764,8424,9249,7658,zokiv,4080
28764,8424,9249,7658,PXiVD,7252
80272,4537,8292,5549,TGTmF,3554
80272,4537,8292,5549,zDkfF,9892
80272,4537,8292,5549,QohFj,7397
73099,7773,5729,3347,FEGiC,7546
68282,4997,9238,8945,JsGjV,964
11089,4679,3839,5775,ofXJP,4769
11089,4679,3839,5775,wVxrE,1172
11089,4679,3839,5775,LbDGi,4658
46602,1761,5310,4528,XagDi,4250
36225,918,1581,8081,OlxdD,2642
36225,918,1581,8081,ydvbJ,7774
99924,1144,2352,8195,gxXEB,3094
49943,5607,5707,1998,BlWZA,6798
49943,5607,5707,1998,hygxV,3095
64398,2251,3954,9491,TAobx,2053
64398,2251,3954,9491,DWVBJ,6296
57989,6885,4822,9975,Xvayf,8295
57989,6885,4822,9975,ubGru,8875
46728,3923,5675,2857,UoRqQ,8576
46728,3923,5675,2857,KCzdt,8357
46728,3923,5675,2857,BLudz,667
41508,3888,3660,8577,WQBzb,5498
41508,3888,3660,8577,dvSXK,2761
53036,3874,7327,5357,ryNxb,1682
53036,3874,7327,5357,XjMlT,2587
27598,1950,4662,8539,Prdjt,8015
27598,1950,4662,8539,dtTpc,5944
21261,6551,4945,7228,LKmNv,9484
23391,8442,5356,4639,ORqBY,3407
23391,8442,5356,4639,PehfW,323
23391,8442,5356,4639,GYWXG,9917
6163,3170,4239,4045,zPkco,8215
6163,3170,4239,4045,nAoSf,5951
21399,6843,6335,8827,IaxCC,248
21399,6843,6335,8827,FlAPG,9988
70853,1564,8401,1658,hmOJA,9705
70853,1564,8401,1658,jgSGF,5792
67612,9521,4551,5340,RLwDK,7260
67612,9521,4551,5340,ygZwK,1166
67612,9521,4551,5340,nvFoh,2849
90168,3506,9876,9448,AOzqz,5826
78434,6579,3972,2986,LZDFw,4850
78434,6579,3972,2986,reGBw,8133
85392,7818,7226,585,gBwsv,6402
11703,4646,593,6114,HRzbO,3429
11703,4646,593,6114,PEhdo,3608
29383,4911,7495,4476,CLBAU,7822
29383,4911,7495,4476,kwTIx,118
29383,4911,7495,4476,QJoNn,4645
17091,8904,6526,4423,JWWrp,3192
17091,8904,6526,4423,DNfVV,7594
17091,8904,6526,4423,viZtx,2767
96448,7022,5644,9282,PaUUZ,4898
9397,2663,6804,8252,knUNZ,3672
71807,910,7488,6362,EfRzI,5070
71807,910,7488,6362,uAWUM,3921
71807,910,7488,6362,aCnRM,283
38100,9160,8241,2057,Nhimn,4946
85768,8757,1979,3968,gXPlI,8880
85768,8757,1979,3968,ISAZb,1784
85768,8757,1979,3968,Iaktn,3681
72692,8127,3826,1960,SZqql,3582
72692,8127,3826,1960,MDdVE,9186
72692,8127,3826,1960,LPCFC,2283
34023,3031,5897,1823,uJJsn,166
1780,3102,8322,8915,FGxnM,2386
43187,3342,2163,4266,JuXxr,8025
43187,3342,2163,4266,KHQDR,287
43187,3342,2163,4266,sJCVK,9343
17596,7990,1585,2683,ydWaH,6572
17596,7990,1585,2683,iDJxO,6486
16812,9401,3732,6653,gDhot,1549
16812,9401,3732,6653,hvVLD,7441
31528,8391,6438,9055,iXTtV,8217
31528,8391,6438,9055,lwatU,9766
60148,4061,7335,828,rXCxA,6241
8245,7273,915,1816,TtGls,7028
8245,7273,915,1816,SWOGN,43
8245,7273,915,1816,AKigx,1615
80464,8460,7949,7439,RQcVR,1319
94297,2106,2919,1269,YltUP,8123
94297,2106,2919,1269,XFxMX,156
96581,517,4935,1184,EnZOY,9091
33671,9093,1791,2426,yHigi,4208
33671,9093,1791,2426,mYCAQ,626
47293,40,6225,9216,eXaod,5394
67406,2942,5825,8921,IjWhs,5389
67406,2942,5825,8921,PihCx,1735
67406,2942,5825,8921,HCwyl,896
25225,2778,1570,5183,ymCVQ,4995
78177,3878,8694,9209,EYhgj,4737
78177,3878,8694,9209,ezxFR,6108
36098,5958,3262,9791,LZHlH,7874
36098,5958,3262,9791,kNroF,8304
54785,8595,5576,8225,IdcZR,4028
54785,8595,5576,8225,JrbfP,3505
67294,1359,2247,1125,JuqUe,5190
69404,2503,6488,7627,qNFIQ,8826
69404,2503,6488,7627,mmFfp,6693
69404,2503,6488,7627,vumrv,1884
67512,9958,2387,8255,GVeux,7403
67512,9958,2387,8255,Tmqlk,6989
76589,6227,1843,8112,YQgsN,5818
76589,6227,1843,8112,zpNiy,3556
69200,5684,6915,7966,OLMNC,2433
69200,5684,6915,7966,noXdh,6724
66574,370,6960,7014,pwnlL,6928
97689,4133,8891,9909,yYAPW,378
42904,4141,8447,3774,ZyThs,4999
42904,4141,8447,3774,UjrEY,9260
13972,7971,7695,7869,xINdc,99
41570,2811,9116,2207,MXWWz,3115
23486,6362,6661,3000,mgjYT,461
23486,6362,6661,3000,fvaAB,2270
23486,6362,6661,3000,BixNG,8901
27785,5643,6660,5639,frKte,6879
27785,5643,6660,5639,mtAhY,5426
35114,7404,8390,9887,OqAib,8537
35114,7404,8390,9887,crqwR,8132
77728,3473,7135,46,agPXJ,9480
77728,3473,7135,46,qDswk,4860
77728,3473,7135,46,ZKoNO,8172
17472,6223,6634,5305,PhUxu,3997
17472,6223,6634,5305,GuRmY,1381
94582,8269,2434,9034,LyRRZ,7473
49183,7778,9470,9479,xrQWJ,9660
45264,606,141,7536,dzaJP,3914
97953,9404,6965,9358,xDYbf,4750
37822,165,3475,2589,dsihn,9088
37822,165,3475,2589,TJhot,714
97881,276,5814,6901,lnrTe,4449
65365,867,1025,9421,bkYVC,4984
65365,867,1025,9421,CeYwk,6173
42642,8099,142,3552,LviRF,6769
42642,8099,142,3552,KcYTf,2195
