VendorNo,CompanyCode,FiscalYear
29415,78150,1971
89194,67042,2000
24262,53845,2019
92062,266,2004
7233,69004,2014
13927,13191,1984
75948,73558,1981
84782,52851,2012
88384,63841,1991
26263,7542,2014
71356,37097,1984
52709,1450,2024
96609,28305,1991
29757,25288,2008
80000,19593,2011
20373,72212,1979
7270,74897,1998
90298,4083,2017
29994,39145,1971
9292,75189,1999
68870,12946,1991
19233,74760,1986
11951,52324,1972
90887,98109,1989
13967,56500,2011
76976,18384,1983
42103,8942,2006
92119,42243,1994
79177,22148,1990
28717,49899,2017
44876,60833,2003
83039,98865,1986
79514,85713,2015
8608,38577,1991
77828,99454,1981
14351,48714,1992
18218,74418,1991
94532,48047,2006
7895,32599,2004
31466,59212,2014
15118,60833,2013
63562,69549,1991
26050,29392,1986
33889,81637,1999
3775,73172,2006
63691,77621,1986
69081,71763,2001
98465,16194,2003
36721,14799,1971
65787,11997,2001
62169,3563,2012
48294,14228,1988
11935,11010,2023
42309,36316,2012
99635,85596,2014
14074,27362,2023
41166,21542,2008
14693,86778,1978
59873,63489,2005
66189,70000,1994
81576,41663,1984
70402,13162,1997
65750,24072,2011
68311,48471,2010
8649,21708,1980
82013,77412,2019
55554,75489,2003
62190,75012,1971
58648,36191,1981
2621,12738,1999
49766,83638,2004
59835,77621,2011
49424,82487,2015
47033,68651,2022
85251,48580,1994
5914,46496,1972
32081,71390,2013
25980,54830,1970
41208,71401,1977
58894,70530,2003
49424,37669,2010
97252,86014,2019
17615,20182,1985
39967,61404,1978
78480,61326,1994
61640,75680,1985
90943,97669,2002
39180,56535,1990
33203,9031,2009
96335,36403,2013
4560,44707,2004
64270,36084,2015
187,90973,1974
33304,6027,2010
34878,14452,1972
93211,26477,1988
58687,60348,1978
60134,11918,2018
82376,75230,1972
64368,63841,1998
5362,33310,1998
27314,9380,2004
5336,56500,1985
14412,61521,1977
94511,26279,1988
99921,37175,2016
98436,33399,2004
55639,3469,2020
9687,59999,2004
70092,20817,2000
74156,32676,1987
15820,80082,1971
97460,26396,1993
17097,33642,1970
59645,9876,2014
59794,81787,2000
7175,81331,2000
52751,25753,1986
68126,84008,1982
31382,95525,1999
19472,86328,1978
92550,69511,1991
65787,31459,2002
49761,8999,2002
52364,46888,2005
65131,70860,1983
80368,96339,1993
23672,13727,1997
30455,696,1970
8867,30378,1998
50153,53468,2017
16939,38395,2022
3277,64468,2020
88760,21744,2021
99921,89249,2021
69832,94365,2017
87467,49733,1993
25371,7921,1970
28417,31283,2019
47786,33495,2017
22142,60256,1986
71695,13761,2000
66066,74722,2014
99921,65367,2007
61244,80705,2014
44987,37811,1973
94185,9947,2010
6465,75545,2002
72111,8341,2015
27167,37718,2004
73352,29317,2006
92472,99457,1995
46818,72835,2001
81952,69978,1983
90262,24042,1987
22018,49375,1971
84912,74639,2003
82782,75846,2002
95779,74004,2014
55714,94437,2009
30510,7602,2011
68942,17751,2023
53212,55362,1978
84066,21086,2006
40111,19357,1977
69109,1869,2018
87377,39905,2006
37787,15833,2016
17984,95358,1981
19274,636,2001
41951,96878,1972
94511,57470,2019
31818,95709,1987
81343,46220,2002
9460,93832,1982
2425,2075,1996
96320,91184,2022
71673,6678,1975
10065,23522,1987
19864,75896,1981
55640,8972,1989
90042,36578,1992
50350,71228,2003
52422,66146,2023
45112,52445,1998
30535,35794,2024
64787,87862,2019
20822,91131,1993
53381,61859,1997
19914,25357,1995
50024,5189,1998
90466,3196,1974
45324,5796,1981
53868,67037,2010
67066,83848,1991
60456,36063,2020
69109,4628,2013
74214,99629,2005
46813,65158,2009
68751,16000,2003
35385,15507,1984
45659,64569,1990
73857,15839,1987
32171,27050,1971
70822,15325,1971
74848,34015,1987
63815,11864,2005
38647,93040,2024
52357,4506,1975
39328,77067,1986
38737,97400,1988
50265,45073,1996
73134,81835,2001
70557,27139,1993
34886,85679,1987
44712,5498,2002
90903,83786,1971
30795,19160,1991
40464,15540,1999
33325,21876,2013
34124,4952,1983
35575,69387,1985
56653,53845,2022
39263,98411,1978
28909,59403,2012
41385,29567,2018
327,91012,2002
30145,68069,2004
26826,1709,2000
15710,12278,2020
75459,81322,2002
54032,90017,2020
5743,5710,1974
47907,17097,1995
96919,1741,1972
41366,44945,1987
55070,58519,2010
49963,67713,1983
2032,3397,1990
99338,79041,2016
81576,10221,2001
50837,81478,1995
40237,23435,1970
2257,1146,1986
51376,10111,1979
87502,16361,1983
98848,99146,1997
41759,16981,2001
48737,86934,1988
6926,12615,2000
62190,85858,2019
59471,8964,2009
18249,38055,1990
10180,30892,2016
99138,59769,1978
93888,36651,1989
69489,30524,2007
19245,9161,2004
15275,1724,2003
26597,22057,2016
25524,93478,1998
75558,5743,1993
32008,42156,2010
70329,44420,2022
165,3177,1992
38589,89699,1973
58687,87067,1995
30692,11540,2021
16446,61410,1982
82271,3603,1979
52353,293,1994
89565,32109,2010
73654,7137,1976
36954,71407,1973
1794,89489,2011
25347,73089,1982
9413,15140,2002
14693,88654,2017
7359,52104,1974
63361,7829,1982
22054,80968,1989
91220,83832,1971
33762,93111,2001
61693,75662,2001
165,8609,2023
64782,17117,2005
41654,9954,1987
32408,47011,2010
24137,87714,2008
67217,77719,2001
86951,27056,2017
35905,9586,2003
80452,66384,2016
51547,37892,1970
11481,50881,1984
42895,63952,2008
25601,77959,1998
25508,6937,1970
45077,80160,2004
61201,14433,1999
243,98641,1974
60618,41025,1978
43274,88192,1972
37772,34837,1993
51096,58118,2009
15538,91488,1988
21581,83476,2007
27261,35036,1977
29895,54877,1971
15726,79937,2009
73065,34575,1999
69774,27390,2023
33958,10697,2013
246,88416,2023
24878,52149,1991
94418,85766,1973
34406,77187,2016
11999,59403,2024
50505,40495,1981
56653,81759,1972
41869,77243,1971
52530,50272,2022
11481,21186,2023
49217,32215,2010
73941,96830,2005
96285,96415,2017
55653,53258,2004
82130,42258,2005
34037,47912,1979
76594,54506,1979
23600,53378,2001
22885,6342,2016
28668,69447,2017
81063,61262,1980
37968,28650,1999
67489,27745,1986
39868,17031,1974
94565,4253,1982
31963,27796,1996
81922,57004,2022
18106,11059,1995
37176,85617,2019
93518,25581,2007
7274,31189,2009
75948,81828,2023
81824,29803,1986
37790,71293,2014
33889,51809,2023
32609,12757,2002
68720,47937,2005
97918,52829,1988
65617,38126,2011
15147,8073,2023
30578,18405,2009
19154,6326,2011
65713,52355,1985
75435,91069,2010
56719,2883,2000
19140,43142,1981
28603,50932,2014
7897,31922,2024
39473,45504,1995
68374,17779,1978
25371,13978,1978
3769,78126,2011
29782,69568,1973
61746,56997,2019
37245,63653,1973
88748,97925,2020
2697,97999,1976
20547,24795,1995
79638,33863,1971
48747,5738,1978
44485,46267,1970
55546,54090,1987
86719,11920,1971
90887,42342,1981
72236,8014,1975
15290,71370,1974
8396,10307,2023
18823,85494,1976
30017,98912,1978
26918,98823,1978
45067,22430,2008
2584,61489,2008
32052,60276,1972
23612,77180,1989
98907,5639,1977
94366,90716,1979
89856,63469,1974
5730,86380,1989
70354,54659,2006
98871,1398,2009
55070,61724,2021
40790,5582,1981
30844,86066,1979
19640,96911,1986
64467,58020,2018
61023,32295,1998
33401,60510,1995
97666,98356,2011
27869,57486,1970
9308,3974,2008
44436,53011,2019
68757,96632,2014
37089,10640,1999
62058,64514,2005
39506,47488,1982
48842,63300,2006
73803,41124,1973
25491,22556,1992
59000,65991,1978
15201,5429,1992
36443,48498,1970
10413,29982,2013
12415,21775,1985
59658,60312,2017
97812,45497,2018
21053,59739,2011
7483,51295,1976
69490,79502,1983
94778,12044,1993
96429,88315,2022
17917,39504,2022
9507,79061,1995
34829,88315,2013
86760,18512,2003
45632,58393,1990
35530,77379,1985
23798,27993,2014
54073,82210,2015
64704,20430,1980
27213,7401,2009
3452,96097,2016
88529,69147,2002
64077,4254,2015
76979,61253,1996
7937,96440,1970
7489,90845,2022
39554,55686,1985
42206,1056,1986
28783,65386,2004
66663,29346,2014
34173,79017,1999
84620,69093,2006
86461,46312,2014
56537,92525,1980
93266,44499,1995
85774,20411,1986
75543,48600,1976
87340,89138,2024
91845,69970,1991
46883,55490,2004
15657,27465,1983
9650,66417,2003
34571,32158,2006
3669,46199,2003
49571,44607,1970
76637,46237,2021
94082,25656,1983
51452,92983,2007
54672,23836,1999
26918,92461,1995
75874,95392,1982
72473,17860,1992
33440,83300,2005
67136,68798,1987
10996,26437,1986
32776,28947,2015
64293,7695,2015
90899,41561,1996
29213,17993,1985
239,78016,1998
16030,27080,1975
14329,99132,2023
8289,7960,1988
7175,78300,2024
51373,36659,2024
39723,10312,1980
84597,74834,2010
62782,96192,2023
7599,70536,1998
22445,82433,1996
6472,56114,1970
1751,69654,1976
16685,50213,1984
37564,56997,1978
87255,59103,2004
99282,4029,1984
24877,80926,1992
14451,38264,1980
31466,75589,1992
79420,67071,2010
54485,62851,1986
72462,97517,1988
26560,24011,2009
54093,10618,2017
41864,93040,2011
49365,31816,1977
22430,67816,2015
57186,89582,2019
33059,52437,1978
89382,7350,1982
24334,58866,1988
58567,47130,1982
91740,63244,2000
87095,88399,2004
91503,89197,2008
57066,1532,1978
25096,84597,1973
40319,66199,2017
28737,37166,2018
83220,76403,1979
75934,37559,1988
49236,13761,1972
84004,86882,2001
61860,20957,2006
69273,26196,2003
68678,53682,2022
96794,36217,1982
38984,15119,1996
66894,81731,1975
21808,18571,2013
53980,26273,1981
66903,99873,1972
36054,2883,2014
71379,53944,2019
41869,37991,2017
25809,80436,1970
60808,64437,1975
71343,42767,1986
83025,46940,2019
72892,95859,1985
1306,86174,1998
87657,4110,2006
23863,38084,2010
49309,68856,1999
25683,10268,1994
48226,97938,1972
86042,12589,1988
52188,81275,1970
88133,38112,2001
58628,33812,2002
67545,83060,1996
45585,3867,1976
57099,75005,2014
91955,75236,1996
46500,62344,1979
9250,32382,1999
12328,67211,2023
91223,45790,1972
99230,22435,1993
12649,82753,1970
23638,36191,2004
62334,42678,2024
26007,47018,1977
54201,10575,1972
74243,93005,2016
76608,63342,2010
35877,48459,1988
95378,13560,2015
18514,38073,2015
85023,85360,2009
63409,46626,2016
5110,66375,1972
82636,6937,1983
51997,27362,2009
57554,53300,1983
42261,74799,2019
23428,7186,2020
8641,50753,2022
95890,52110,2024
79035,21718,2015
72733,80221,1981
91645,86406,1994
14346,93040,2010
86278,18917,1974
93528,39761,1975
73894,12156,1990
33509,71454,1997
26822,12789,1982
78809,42920,1987
55347,67961,2011
25409,93612,2000
81329,82441,2002
78828,45729,2013
11509,33840,1981
73534,52954,2023
25894,94254,1986
99161,57470,1997
31653,24917,1984
68830,80998,1989
39988,85242,2012
99900,47488,2001
5466,82054,1979
26727,92479,2011
1608,35436,1995
51744,75865,2015
64338,88926,2011
42215,16717,2006
77943,39388,2015
88287,75174,1991
42454,63231,1976
89194,61115,1990
71798,99094,1975
21534,96051,1970
37707,25580,1980
44599,63653,1990
81493,39222,1982
65825,32066,2017
3061,57712,1987
90756,80606,2022
33295,36163,1999
95088,26303,1977
54415,67845,2014
7592,52878,2006
72935,83871,2018
81696,75265,1996
50341,17813,2007
76645,43787,2002
26794,81846,1986
42168,17321,1971
92194,25645,1976
68678,97907,2021
36092,48929,1972
52833,23599,2002
13071,16329,2009
99345,73224,2004
86740,17354,1991
55876,51433,1979
34535,98598,2021
71541,56500,1989
51654,53429,2004
68848,57595,2016
46818,6503,2012
23824,35180,1972
11373,77952,2015
23921,61573,1971
52027,62616,2007
19379,65130,2012
91050,43613,1991
33831,27335,1978
52188,70023,2002
64979,86529,2007
53024,76737,1996
6071,35180,2022
43538,8959,2003
77362,4328,2006
87791,44554,2003
71134,21884,1985
57161,8260,2007
47554,87917,1981
92452,16365,2016
8307,41063,1990
32903,27734,2012
21975,96023,2016
38664,75009,1980
9507,87954,2019
64235,43225,2006
92306,19765,1990
54970,441,2009
75270,56265,2013
51407,90968,1985
36914,68300,2005
59000,15546,1993
15637,69304,1996
75678,90812,1981
58447,72568,1995
64787,64700,1972
34173,47891,2004
81313,65872,2005
72870,52103,2018
24901,12193,1999
45740,83254,1982
86128,69896,2000
8352,11527,2020
32148,24709,2005
51787,24320,1994
8039,39685,2016
80207,73660,1977
73798,25512,1996
9193,76177,2009
30017,1422,1976
60494,14163,1976
44052,98913,1998
41001,75545,1979
21534,61005,1994
83061,89114,2017
23491,35511,1981
74332,91789,2001
45754,23673,1990
84433,87464,1990
38352,10179,1979
24794,60824,1996
86386,25691,1983
47129,32247,2002
72583,93725,2024
36223,17645,1998
49424,31246,1983
94942,89572,1983
35875,344,2017
73358,52856,2018
60217,31083,2004
38115,99090,2011
81696,89778,2003
62113,57074,2023
21315,22385,1984
47395,61404,2017
6094,85567,2021
98378,71293,1988
76389,68838,2003
88026,35945,2011
14110,2496,2024
16822,64796,1988
34687,46820,2017
21949,87063,1976
69434,31825,2001
41119,87602,1996
97841,4788,1980
1257,88161,2017
55952,64533,2001
91454,79380,2001
5110,43835,2014
77832,45977,1990
19277,81331,2000
43022,80248,1991
86756,84348,1999
84407,36139,1975
49693,99496,2017
31602,49047,1993
80650,87297,2015
54581,82431,1998
83044,84420,2001
27911,14616,1990
43608,85072,2015
79908,8,2004
63857,73820,1979
18595,6710,2007
52272,26896,1998
32220,18369,1980
73510,42614,1992
1937,39342,2008
43601,58902,1979
92462,29022,1973
34950,38176,2010
1715,70796,1997
62238,92738,2016
1405,77722,1989
12460,86776,2003
36150,68214,1991
83998,313,1971
76631,34229,2017
51114,34911,2007
43870,34286,1989
73134,43067,2006
83230,71987,2010
31644,78676,1993
14030,65324,1984
13587,61369,1981
48994,11533,1992
42168,74421,2004
33944,25753,1982
68408,5332,1992
55381,4603,2004
28574,17321,1992
74278,72802,2020
39108,1663,1993
85736,46681,1997
28780,77954,1980
10970,92430,1979
81156,86066,1970
53012,51396,2012
24794,36162,2002
86851,30931,1999
57635,80104,1987
3591,75249,2023
19233,37049,2012
51258,5639,2020
55184,99101,2003
25760,88524,1998
53871,13451,1998
28198,13175,2021
41134,30308,2000
94280,70260,2007
10231,32676,1997
91294,66548,2013
90171,49496,2017
50457,63808,2000
9366,26413,2002
8662,17939,2022
53021,1872,1978
5110,86066,1981
73857,6170,1983
51744,72234,1989
40041,60492,2004
52472,12569,1979
15990,40991,2008
2428,60797,2020
70773,20001,1972
20350,53121,2013
66550,37761,1975
3109,95922,1983
86265,56002,2002
44163,61757,2004
45560,95364,2003
38426,10221,1970
87504,56071,1988
38819,35384,2022
5142,18264,1994
16025,44726,2000
36177,23623,2010
97955,68628,2011
28012,89822,2020
19654,67120,1977
25600,8630,1973
73787,48871,1973
27000,55148,1987
11879,20003,2000
58286,96081,2005
25641,68267,2020
28108,82931,2015
17498,2739,1984
61121,34267,1993
78684,99146,1999
84183,38002,2011
15055,81361,1979
67336,54679,1974
52657,12557,2013
88114,90043,1976
61360,3544,1970
41131,53984,2017
18309,39685,1993
63207,85421,2022
53405,12880,1972
98130,4166,1995
50890,24226,1995
60743,22855,2012
16159,87862,2010
71724,3933,1985
75257,4595,1972
80143,70359,1980
24142,94187,2011
67125,11216,1987
53682,80625,2016
79300,65513,2000
41689,37156,1981
91942,38176,2018
96429,1670,2016
79855,69147,1980
86511,64462,1995
75129,30538,1997
67538,88399,2011
53623,16423,2019
39170,62847,2024
41001,92757,2013
91244,61377,1986
46508,84947,2010
10890,77368,1993
73894,58913,1984
10525,7382,2000
79822,59141,1995
17117,69781,2021
37298,44183,1979
70871,25455,1998
85736,94576,2010
17774,27050,1986
91255,21421,1976
69133,96079,2004
37884,94644,1986
21093,19214,2020
32797,86057,1988
30123,74497,2018
53748,70219,1999
86889,32457,2000
68241,28022,2006
56259,58902,2005
84754,38174,1996
26222,60525,2004
23556,92497,1977
68228,54090,1973
95006,39391,2023
8427,13726,2016
33586,15082,1978
38889,16504,2011
54647,58774,2023
32502,4022,1986
80687,35239,2017
55334,73059,1997
10519,83640,1970
19398,92571,1973
11408,14568,2002
75928,13658,1983
49556,79561,1997
18496,55896,2013
28493,68831,1980
54572,14953,2019
57347,58451,1980
481,70023,2013
3273,12872,1991
38984,82014,2016
17835,92118,2011
73134,66146,2015
59577,20437,1991
76917,47457,1986
67731,85665,1990
43680,1402,2003
84456,15882,2001
87180,37943,1982
67567,47597,2000
13513,54198,2012
25032,27399,2004
70710,22868,2024
84165,85431,1997
17922,85577,2019
72209,46660,1995
28650,36363,1990
4646,7574,2004
82782,74125,2011
30486,52939,1976
14803,86795,1983
578,74902,1981
68559,48708,2011
42941,74652,2011
69350,76464,1995
68737,27052,2004
30814,929,2018
40023,29225,2007
24931,23554,2013
87562,718,2007
32838,75661,1991
50039,72048,1993
78216,95954,1986
43126,6678,2021
91617,99814,1981
70445,93190,2023
18801,9868,1996
88030,72059,1976
50189,22484,2006
16119,20878,1970
25272,60049,2021
53672,4398,2007
52394,25151,2002
68664,34630,2017
64704,44132,2022
40688,59929,2002
2060,50897,1975
59457,39210,1975
13372,8492,1982
50380,52287,2014
12338,63537,2000
44665,74348,1973
73415,3724,2005
50840,14896,1987
2944,66512,1982
78054,293,1985
98298,51747,2007
15914,85104,2007
69832,4241,2012
24541,68359,1975
90658,21344,1987
19328,27052,1979
96027,42975,1989
23965,4930,1999
82002,55380,1994
38713,82441,2016
95048,37910,1973
54089,12181,1996
8448,24983,2007
26725,35038,1999
99919,92635,2014
95664,43067,1971
30902,23976,2019
86232,61189,2013
78654,11533,2020
36164,47450,2005
78216,72701,1993
84443,69324,1973
41453,5335,1981
26136,32088,2004
87918,82212,1994
41435,45990,1990
92279,7368,2010
79638,37669,1995
88304,92220,1975
18027,11106,2000
20560,25218,1999
74593,31167,1988
38589,55793,1975
39180,89394,1972
49047,89822,2012
28098,8,1994
94509,61847,2022
60715,64841,1984
64235,50099,1991
47085,37080,1993
66316,24068,1979
54814,74400,1970
70258,46237,2002
31156,92066,2001
83071,36536,2010
61640,23011,2021
73476,77031,1973
68725,14087,2009
83895,75287,1989
48757,37080,1986
99921,21722,1996
1790,15239,2021
94790,53546,2006
14965,14983,2017
18891,5987,1999
24747,39647,1982
6761,36296,2018
27577,92716,2003
89335,926,1971
53288,29982,1984
43676,77652,1990
41303,40550,2006
38197,78848,2019
23731,35500,1987
72138,45925,1974
16450,49601,2004
46947,42370,1970
95112,68628,2004
66917,82923,2005
96353,94514,1993
26931,79953,1985
40823,8335,2001
58804,52226,1995
91953,44945,2017
73820,92803,1983
49160,71408,1974
49495,76517,1970
78660,81176,2005
99185,64916,2007
70682,87823,1982
99894,58618,1978
58730,51093,1991
75586,36415,1975
69487,8630,1975
22669,72256,1975
16430,67306,1977
45659,758,1974
51980,71371,1982
85380,86726,2005
59473,85811,2008
97768,9495,2012
80000,16856,1998
6200,97195,1998
58522,15416,1984
54020,41780,1980
21118,88028,1986
55450,29114,2016
52698,70860,1974
77934,61345,2002
85497,43799,1978
60397,68984,1998
40111,37321,1974
5308,15355,2002
95950,48090,2001
24931,78490,2009
12818,13058,1986
26136,76040,1989
42988,38064,2001
70835,33225,2021
96581,45491,1986
96429,5639,1985
86753,88157,1986
63777,86525,2001
51267,43799,1990
5858,37610,1986
98387,50596,2022
3899,55482,1983
32803,71203,2016
51650,73599,2004
55260,39749,2024
47532,55300,2017
71073,18882,1985
19472,80534,2000
79554,64608,1992
84753,36043,2001
85794,67368,1995
48994,78200,1978
67627,95392,1996
87665,39343,1991
43258,63721,2014
48159,58760,1982
77880,1146,1976
23798,87339,1970
63114,42892,2019
59332,86631,1991
58280,50157,1985
14449,18052,1988
48013,71350,1992
57600,85010,1979
32419,33748,1979
97664,31493,1982
32502,52634,2008
49217,15617,2006
40458,48748,2008
40650,91406,2017
94203,23977,1993
7462,74706,1996
50028,55287,1990
99194,61262,2022
61860,14489,1981
56259,56903,1974
11615,52619,2003
169,14163,2016
6413,55369,2019
45066,10764,1988
9550,47868,1971
12378,30864,2014
77888,80283,1985
47806,10625,2019
12986,74885,2018
84879,6573,1985
69156,94541,2016
48941,78031,1996
17905,16365,1984
86201,48692,1984
59866,69970,2019
67328,49829,1975
72095,32909,1983
50685,57638,2015
25491,97211,1986
70214,28267,1983
37413,70536,1976
6991,13191,2014
607,25123,1983
74857,11920,2017
90883,12236,1990
78654,53845,1989
57954,48628,2022
95262,18127,2001
81309,77572,2001
56245,34164,2024
2257,69500,2002
3299,76308,2022
15570,59507,2013
37437,35866,2021
47482,98323,2014
1539,48578,2014
3521,11305,2001
44612,61724,1989
25755,44774,1990
21681,97419,1993
34274,89822,2013
33889,98406,2021
23612,75952,1995
31818,61127,1976
62527,8706,2023
84563,21542,1986
98975,14700,1974
93727,53786,2007
19899,28435,1976
80821,63808,2015
64018,54482,1974
18092,41980,2021
38841,92711,1998
29554,21327,1995
73065,67368,1992
25914,14620,2020
15069,46496,2005
54134,12236,1974
16547,70564,1989
5128,96911,1974
73417,53136,2007
92626,93849,1993
86659,91774,1973
20764,55148,2005
30024,48668,2015
69197,50999,1988
65637,60123,2008
2869,99879,2022
66848,33854,2013
76405,26947,1998
72596,75589,2008
25864,97773,1997
84105,75858,1993
78570,62805,2024
54944,75067,2008
94605,11669,1997
6308,62063,2003
50283,49582,2023
15290,75417,1992
72702,22424,1994
90018,94800,2006
81557,10937,2023
23339,14190,2013
2916,5131,1977
16027,20269,2014
99827,8296,2016
77040,19314,1976
50446,14799,2013
21587,66417,2020
8411,46454,1996
20976,3622,2021
16969,70112,1979
76767,78578,1989
47730,86882,2020
79908,74400,1990
98228,47858,2003
50557,73660,2003
64830,33499,1978
19541,8542,2000
39179,91467,1982
35736,67165,2018
5033,67231,1982
62113,5076,2003
2584,9781,1993
21631,99304,1976
60507,56114,2012
55906,12492,2013
56521,76177,1988
80207,29354,2004
23055,87859,1996
57942,52510,1995
78385,52093,2016
27557,67936,2014
13174,18264,2015
56215,53199,1992
19518,98274,1971
95926,60736,2002
20184,78978,1998
42288,70839,2019
81225,46312,1978
14123,81293,1997
57242,13451,2004
76916,39936,2003
96269,38497,1989
23055,30394,1978
68263,57128,1971
37020,92323,1998
37883,4359,2003
7923,12492,1970
28055,87859,1977
19021,24566,1996
72714,31240,1972
29469,13953,2003
36068,61326,1983
17925,79093,2021
69278,27844,1979
80870,28635,2005
18934,23040,2001
90631,79556,2001
57107,11687,2001
95607,62538,1997
34820,6717,2024
59011,13355,2003
7938,83690,1976
76067,28709,1971
717,98583,2018
43608,33697,2024
87964,51552,1989
4299,8962,1974
49560,187,2017
86297,66948,2015
87115,97629,2012
85679,58398,1981
89522,13662,1976
11263,12411,1975
92775,38395,2006
67474,95954,1975
96821,43852,2004
79083,4621,1972
59191,80075,1985
79758,81267,2005
18407,56983,1987
75895,47438,2009
52069,21801,1975
18254,19032,1977
5954,20246,2023
73628,64439,2009
77245,67647,1980
14056,99095,1997
51452,24229,1981
88097,72921,1989
89243,66047,1975
69774,59771,1972
86927,64218,2008
69330,93493,2001
56443,80390,2018
55869,32066,1992
8390,25822,1990
84748,40556,1971
89321,4318,1989
31696,29164,1990
43753,95273,1981
95926,40268,1970
5680,17777,2014
84999,14625,1992
39365,29325,2023
98279,59999,1998
13765,11045,2003
70442,83976,2006
4209,57477,1985
20830,92866,1983
3059,61391,1976
36587,88330,2015
22051,17015,1998
35290,93112,1983
48640,25908,2003
83945,23520,2012
36906,29462,2019
40578,25656,1982
50489,30590,1980
44897,35959,2004
12154,85946,1988
20456,70792,2022
2956,51588,2004
76072,51705,2011
98884,7606,1994
51728,76037,2020
16030,12287,1991
8039,67043,1989
90883,53536,2022
78000,4071,1985
26068,34379,1981
83484,23798,2007
97359,33470,2010
87588,18347,1983
97918,61565,1987
26300,81336,1978
65048,21754,2006
87020,18810,1992
10690,81781,2023
31975,69928,1982
71459,84803,2020
6926,31528,2005
4479,16966,1992
5981,62314,2007
91223,56317,2017
41771,38592,1994
89886,56815,1992
11018,38073,2001
64855,650,1986
40327,59015,2000
1360,51511,1971
37048,25468,2013
11381,51750,1982
15414,23582,1978
24934,49591,1988
37298,15540,2004
12765,60264,1990
36290,55793,1979
88458,14824,1986
96328,18722,2012
20424,91798,1984
87778,12642,2005
47462,54360,1994
69996,96090,2004
22631,40764,2021
31596,11760,2013
87588,47912,1998
57417,11240,1994
61907,47020,1990
25886,34452,2009
57821,71519,1996
23838,79468,2010
17812,93439,1974
44436,44094,1975
37536,39210,1997
43230,29298,2011
26954,4159,1987
77703,77142,1992
3109,56535,2022
5114,12665,1977
82489,48398,1984
8535,5541,1976
40670,61682,2014
67967,37565,1995
15494,2936,1973
42920,1458,1972
15257,73660,2004
1201,80357,1986
15867,23979,1991
21105,60733,2001
6658,4595,1980
65144,49519,2008
34784,50311,1997
89382,81441,1973
57964,85108,1976
23843,31824,1995
91282,96896,1998
78515,45351,2019
14121,61569,1996
9465,74076,1976
78159,22435,1972
27236,79013,1999
74539,83942,2010
64517,85108,1976
9190,39766,1998
72822,96310,2003
83968,91484,1976
40311,45250,1984
55476,13468,1993
44052,44297,1980
42965,89792,1996
96757,44807,1981
43976,99146,1987
49018,77688,2013
99841,6187,1972
32408,92649,1990
91427,57952,1988
86773,40457,1970
62005,10937,1998
75830,87394,2018
53461,73843,2012
19498,55505,1985
97533,46600,1977
16669,33945,1977
16998,19918,2018
8125,80033,1986
87606,10708,2007
6928,78552,1992
22031,80880,1986
39090,75957,1980
25407,74311,1997
60800,86052,2012
9991,97192,1984
9816,86120,2002
51934,82144,2004
33819,16690,2009
46069,74861,2012
20373,52872,2005
67056,94843,1988
56725,79939,1981
32803,83501,1995
6472,55654,2016
41244,72255,2002
79471,37610,1995
48994,97872,1991
83759,90152,2011
35736,7441,2016
63749,76399,1981
1206,81349,2005
67429,12745,1991
25525,88391,2014
45475,2401,1997
33239,89384,2010
48473,77721,1985
61176,2649,2011
74561,90225,2006
71959,62547,2022
79550,1398,1972
90630,97800,1996
65300,59900,1997
46585,11032,1995
26013,30055,1975
12366,8462,2013
55859,90290,2022
66471,141,1986
45644,11195,1970
82129,67289,1972
18349,89732,1988
62999,24072,2008
43900,88195,1972
28667,93829,2020
62021,90898,2004
1513,61805,2013
51289,49666,2019
9116,56336,1971
80027,77243,1995
51255,22057,2015
81312,32622,1990
65000,926,2010
9062,45969,2014
88452,68549,2013
64957,99911,1987
56738,28598,1999
38130,75430,1980
18548,39371,1996
74080,23769,2001
86219,18683,2002
48353,17729,2000
54692,37886,1976
34973,40426,1997
88932,74867,1992
81416,95625,2000
95794,92209,2011
28808,58492,1972
30624,52779,1999
39591,63849,2016
51337,30622,2000
88269,82517,1973
37287,83476,2005
55546,82100,1977
34028,71729,1993
95569,6465,1972
78095,29249,2012
191,24550,2024
56024,12856,2006
87886,80779,1976
1765,58208,2007
45615,35583,1995
8497,74406,2005
32296,13518,1994
60494,62007,2010
79410,40991,1982
6402,73046,2006
92385,4122,2021
79964,87028,2012
61231,78183,1976
17490,70208,1996
96835,99699,2013
24070,61667,2015
31717,72199,1984
81227,77435,1993
1514,80789,1990
76081,38512,1996
16946,20974,1988
79199,29362,2004
63167,44930,2006
41669,25888,1996
56719,50977,1981
20107,76983,1976
48708,17993,2017
26793,66855,1993
96270,17425,1970
25214,97686,1984
87374,41657,1987
75037,27878,1995
69110,32219,1974
19992,11684,1977
94835,28104,2023
62489,78652,1985
62747,37666,2006
55443,32050,2003
1731,4930,2024
59748,32477,1977
64361,29567,2004
47084,15757,1985
40979,4988,2023
34886,7577,1992
85561,90612,1981
14935,15054,1982
60459,99214,2004
94717,46601,1973
6942,90152,2022
43538,37897,2021
73766,83131,2007
10829,53802,1992
73908,13169,2001
29452,76575,2024
51297,38477,2003
70036,33863,1982
36549,36606,1988
51229,94975,1988
8171,39695,1981
27213,82387,1971
91477,62693,2007
56510,79358,2005
4152,92315,2000
55970,35014,2002
56625,26303,1994
85607,22803,2004
