CompanyCode,FiscalYear,DocumentNo
37170,1985,2208521478
74212,2024,5631601801
42475,1982,9144428415
22239,1982,1733573641
31466,1974,6149694179
16955,1997,6262447544
36092,2020,3746380802
27765,2020,3548175907
80371,2015,9420876295
42446,1971,7300806687
92880,1995,3917830726
45387,1980,5324191691
19713,2007,2734408015
44574,1979,8453811060
60136,1994,9994611436
53697,1990,3301211351
25620,1974,6040211702
35544,1974,6047530496
90355,1993,1244378686
67676,1977,9278986394
77137,1990,6632872112
65141,2017,5282150102
52437,1973,4984014346
54928,1978,0534355864
36058,1988,1587436530
56793,1982,2863495386
52213,1998,5685488701
20180,1971,5411844848
91913,2020,2610984163
79781,1997,2119529538
40595,1982,7111563056
26863,2009,3227005536
55517,1989,4548341689
77676,2019,0117202985
21638,2007,5624037235
69854,2014,5402624698
4899,1975,5450276946
79614,1970,4534427839
81764,1990,7804665690
50679,1979,0909443928
75712,2016,8557680809
77485,2008,3538371027
78772,1996,0685025620
5632,2023,8914694193
97400,1985,3544509705
59695,2008,7895243660
37767,2013,5783475385
22484,1997,7533098204
87129,2020,1110411304
8981,1978,6463772576
57006,1996,8261375207
46639,2023,6935612932
2415,2024,8226839998
94167,1986,8766597662
19062,2023,7786718761
46874,1994,4411532063
34998,2020,8289971882
88874,1996,1563625451
3030,2010,2953013963
96563,1983,5506260642
88136,1995,6173038161
64295,2019,5923899566
52952,2012,8787740170
16473,2020,8826293851
57987,1976,2077367451
55951,2005,0500120973
96908,2020,4223764218
4812,2008,7615259290
31007,2018,2997630385
72843,1970,2726597669
43785,2007,0844707964
63292,1988,9496739434
30478,1998,3686371552
48580,1979,7922590913
7558,1983,1233725155
89806,1995,8220407106
51792,1973,4060528205
67359,2010,0697580332
71587,2006,4122798513
86617,2019,6504902338
81904,1999,0017239414
24388,1984,0081807809
74695,2014,7125174097
22946,2015,5677285205
50613,1991,7366335926
80968,2018,4179973951
79988,1986,8564938650
16200,1978,9683185167
89054,2010,2615142972
56395,1994,4048037609
20655,2002,1174017283
67713,1974,5133260458
82431,1996,2696582066
34745,2001,4976621186
90346,2003,4402993893
16231,2009,4832254328
28631,1974,1331085564
12880,1991,7757106645
56520,2022,1676952200
89520,2018,1302895166
27418,2014,7640273616
51436,1998,1748438252
29326,1999,0936451220
80160,1985,0866410385
80087,2004,8174173547
84522,1984,8281724039
47481,1994,9594661357
22006,1986,1423020414
90213,2006,2494357238
82496,1982,6256561711
98921,1997,2053208004
23389,2019,1075813241
56914,2009,0820506320
93250,1970,3933833209
96526,1970,1094801495
30852,2005,9912269894
79321,1978,1102604203
8706,2015,1520457988
32109,1995,3895705951
20289,2018,2666106647
29903,1992,7137689431
94572,1980,4451870716
61304,2019,1926241618
30254,2022,6380803018
99324,1975,3887026734
69242,1992,6260846314
70991,2024,5215379688
82525,1972,7094059914
56497,2009,3728539775
79424,1973,1218841781
14515,1988,4126928355
42809,2016,5567614553
19914,2000,6510872849
1105,2016,5252572964
42718,2023,2898038072
91588,1988,8150334810
38497,2013,4848285498
48627,1990,5144388085
92850,1991,6009312749
93601,1977,9393010253
60276,1983,5296826591
36993,1988,4980650865
25554,1984,3823004783
85742,2012,9847158457
89924,1996,9858784031
98094,2016,8860362255
30622,1985,0062677745
73599,1994,8077152750
17432,1997,3315338947
97406,1976,7471616177
69254,1997,4057460354
81726,2019,9780390360
29326,2014,3049569460
95358,1993,6043977332
21714,1985,2382834441
99551,2002,6627674708
4960,1995,1785866431
24566,2010,4628249419
88239,2007,2286732875
97327,1993,3960090330
71439,1976,5803257807
57470,2011,0755906815
61859,2011,9890785434
54675,2004,1506507403
45287,1997,2726406346
17586,2009,1962284056
73160,2017,0259563864
46844,1971,5878356481
47020,2022,0380705376
76732,2010,1677762434
93815,1983,5980641345
38373,1970,5244972246
98109,1984,6333228620
79298,1987,0688415594
52510,1978,4911005633
89773,2013,9970756832
57915,1998,2035003093
86113,1973,4648746168
32506,1987,7737819986
93286,1976,6808169977
18282,1993,7752421202
98274,2016,6071319518
20296,2018,4128292932
53330,2017,5377655579
93725,1986,2673087630
82820,2006,1449405769
51894,2008,7211335813
74351,2008,3361053505
60827,1988,8553923608
72057,1999,6782391373
96388,1994,1641770988
16330,1995,1567877013
4022,2013,9445327061
98335,2006,7665507645
29831,2022,5661714384
64219,1994,4713352200
76246,2017,1709041262
90898,2012,9867274193
49671,2021,1760109690
49666,1991,7766040171
95130,1996,7277309109
41470,2003,3641489639
7350,2019,5750742581
72509,2005,4280579294
75448,1984,5447195074
76246,1999,4495974519
61168,1982,5123671448
96326,2017,9805943940
41370,1986,0437706231
98298,2020,2254567116
16988,2016,4417476931
73172,1986,3131749757
38902,2000,3577652287
99297,2013,8363663230
71654,1990,2696885090
28503,1970,8367172232
57722,1990,4372397171
9183,1981,1219996100
86605,1979,1682156344
95922,1985,6712577972
90425,1987,4841689620
12136,1981,1067844103
35541,1978,0078836651
35918,1975,4449101796
98415,2010,8519336936
74212,2017,1278861795
14896,2012,8626006086
88399,1989,6017771881
47130,2008,4638440904
36532,2023,9701230889
95981,1976,6501602729
48461,1979,6893304597
47450,1983,7390442327
58312,2016,4557759614
36073,2002,7159170037
90489,2007,2511626657
48714,1982,3910955159
34751,2024,2299943655
53596,2015,2995529113
44080,2009,8122527410
82233,2019,2036430682
90718,1998,3399308891
29560,1977,6967593372
49084,2019,3529440026
2675,1975,4270476966
22971,1972,8508643533
96440,1996,2796962888
35970,1984,2206725431
10052,2000,7309934513
70335,1985,8769059783
24023,1989,7101196353
91774,2021,0428497913
67949,1992,4693940463
91668,2011,4131274303
71423,2005,0337413555
55039,1979,5939622100
57784,2012,1351396893
71061,2014,0604525531
43365,2010,2427913648
57784,2003,8583289295
40322,1971,9397665682
75712,1983,5794685431
52065,1988,8133091419
63320,2019,9150779166
2752,2021,7934156846
57636,1979,0595244859
32741,1980,0183375492
27069,2020,9344706467
82980,1998,0944618013
56928,1977,9120464659
54950,2007,9132583532
14015,1998,8855307756
65190,1983,6008820097
53451,2008,4072102421
63740,2024,3137629532
60809,2003,2774967640
3746,1996,6649804639
83488,1992,1795841865
71828,2012,8974861768
35366,1974,1813992749
87356,1999,9860316763
36286,1980,0151847284
56696,2017,2194557772
37965,1997,0729503063
34243,1990,2488870844
84824,2013,4217053628
34042,2015,9623560265
5621,1983,9033898003
63733,1999,7740926288
59535,2009,2111996559
94625,2000,1236823640
66889,2006,7077793159
11968,2000,8574892071
87569,2020,8313284531
77265,2005,0487066345
36987,1975,7699866201
62072,2020,5859176425
2513,1988,9985450412
91069,2012,1006725085
10604,2013,3021015645
19220,1994,8552449193
6074,1984,5401380555
45588,2010,1596703149
97651,1976,2904489233
42533,1996,5238733136
32627,1973,2185873003
73645,2006,8250099625
72398,1993,2699347031
75896,1974,1827345059
63168,1981,8810598333
77739,1996,5685363947
35383,2003,9394981104
48462,2016,5227770558
59210,2020,7556589586
75858,1990,6398889269
67768,2016,4629525329
85807,1997,5339249763
11992,1992,3418427977
91026,1990,5425126754
23235,1979,5783171052
66730,2022,5917751441
95899,1980,9995907526
650,1996,8956381951
88190,2015,8063660395
3508,1979,7236480460
5258,1999,7013798079
3255,2021,6239368539
54904,1996,8558866362
52651,1987,3716233334
46489,2001,4092864552
53786,1994,9607242696
68206,2020,9534497730
85567,1980,3651810049
39821,2001,3633097193
65641,1998,0271405568
42920,1970,6547650296
24947,1980,7622143242
82875,1970,3261084769
62037,2016,2078601114
73307,1985,5053946613
39365,2019,1292861233
44811,1981,2561841933
30218,2019,8219112067
48666,2008,6620436158
25281,1981,8769968688
72028,1988,7458739722
56065,2014,2327446796
8360,1989,2911955124
3325,2003,4011468362
59124,2018,0772119913
75123,2010,1281952328
8014,2023,9529375066
29700,2014,7923186710
7066,1986,4556136813
8014,2007,6178327803
71502,1990,0793490767
88205,1976,4683347209
63007,1979,2086911644
3251,1981,5525800862
52615,2023,4129532531
18282,2005,5829369796
91365,2016,6396338664
86092,1999,6795512673
90211,1974,4859802668
41561,1988,2442524892
88387,1972,9898335318
44967,1988,3038390350
33807,1988,3597216635
85242,1984,8102367203
72490,2007,0689507057
92977,2021,7976402848
93556,2011,1097901966
44726,1987,6775778389
29659,2002,4682501253
6656,1981,2037114651
3271,2018,1701640241
11305,1985,1439377680
48544,1997,3270129671
97797,2013,2488066828
31503,2003,2937426116
38577,1989,4623461846
44554,1971,7467480653
57849,1975,7449930633
21060,1999,4267553840
50,1981,2682756713
6475,1988,7004872393
97616,1998,4408647019
71293,1992,8605110661
15316,1984,1260519494
30605,1976,9929609965
87425,2009,1369902680
33063,2016,9417685556
34379,2000,7038541787
4506,1975,6743465392
34792,2017,4190821660
44945,2019,4998252371
33568,1996,8862207176
19404,1988,1633363093
3137,1981,3067095898
93313,2014,2988840070
13695,1971,7738955163
47500,2022,0218043131
37049,2005,9209371194
48714,1980,0407085651
65101,1986,3617374306
22946,1997,7984843920
77844,1974,2512836406
45551,1995,0912431896
20503,1984,2032627850
73796,1985,6242985800
35297,2006,3506204713
6308,2017,7499420173
64614,1983,7842423031
83282,1982,8171195981
27996,1998,6943336831
75589,2012,2242258290
6709,2000,1047862187
93123,1985,3531892856
92866,1972,5199806054
19055,2023,3733894510
12263,1983,2690959182
15005,2009,0096868834
56792,1997,3498396161
97836,1977,7571944387
66586,1974,6464625858
79758,1996,6826867677
76565,1990,1454057459
17276,1974,8492841122
82575,2010,3427872950
80390,1972,3668864547
81681,1991,7352527811
50038,1971,8591541013
963,2008,3173268678
74210,2007,1958804254
60816,2023,3155481066
94576,2022,9086424088
61219,2016,1769196000
6303,2010,0563367233
25127,2019,2453588956
48936,1993,3894650040
64566,2018,2903127770
70066,2018,6959332087
38907,1978,2951810411
77665,1970,4109048126
84819,1976,0841631117
1600,2018,9142509304
1494,2020,9983577999
82233,1987,4602155900
5673,2020,3843674993
70576,1979,4706205179
87052,2011,1994318200
91051,2007,4760840794
81122,1998,2412730650
41080,2007,4048039730
16141,2022,5409492801
41939,1999,6470898022
52997,1973,7755472757
53071,2020,9762412023
80261,2022,8977330821
59752,1985,2455935396
67713,1974,9570282250
42533,1996,1885973815
52844,2016,4956647495
40556,2007,8223540256
88639,1974,3982721801
58987,2016,3095161872
36363,1984,0281571090
74004,1971,0607255477
3983,2014,2539928355
86129,2014,2769600623
20197,1973,2221064998
88623,2006,0768012380
18,1971,6461422307
93238,1995,8159518528
98701,1975,6335542322
79789,1991,1084200346
59965,2018,0161558861
9876,2024,0033253274
45707,1994,8179401122
89178,2019,6377063184
81781,2003,2622580507
61115,2000,1436453692
10166,1978,0513099324
47457,1982,2253278266
68019,2005,5323292510
34528,1977,7687784730
97244,2015,4851566693
87005,1998,4171546976
65511,1998,0989721377
33550,1976,8160875930
66440,1991,2056785861
27831,1986,8958359401
98594,2000,5706953220
24424,2013,7006344382
23973,2009,4949226105
24254,1981,4361964393
43479,1978,0070573068
40678,1989,7423776736
81616,2012,6523542812
44022,1985,2906457680
30940,2022,3460201521
24671,2011,2944013984
51036,2013,8928989255
76344,2008,8628430871
20811,2023,6117287884
3596,2004,1948201080
19207,2013,9195232452
26752,2021,6897551981
56408,2001,0721532396
51322,2013,3838385465
9795,2000,1304984165
42361,2004,3223695184
27977,1984,4656094008
77881,2012,7276441423
41029,1970,1990089305
35881,1991,3912170241
1539,1975,4974561733
36999,1983,9187149266
68411,1996,0176728057
98734,1985,9640348495
77991,2014,3721563823
52876,1992,3333414596
95546,1994,6539035012
98870,1998,3548399885
57416,2015,3526686558
18940,1970,5682052962
7604,1985,1046711167
25222,2018,6120305432
56386,2009,4289842862
27490,2013,8441872861
8073,2004,7139380332
42892,1984,6784697268
73489,2006,2496083304
96192,1988,3772595751
50402,2020,3584172471
26229,1987,9476975652
78029,1973,5631285826
14580,2006,4805331565
85883,1985,7481269853
49895,2001,8860514355
47620,2009,8445078999
68992,2005,8819975423
17989,2008,2298208616
82927,1997,1110951340
98630,2006,8313231893
97412,1982,2806257320
98227,2005,0294504590
99496,1985,8616844624
41230,2006,5445618336
208,1978,2044155508
74766,2024,7954825168
16569,1991,6243883014
72912,2012,7753996738
52707,2006,1149223950
13255,2008,9601008305
1973,2000,4718756688
78029,2001,5251627180
53596,2007,4690359128
85524,1981,9896323690
87859,1985,1457430680
93124,1973,1747426432
68970,1998,8649230997
45933,2024,6128977739
77540,2017,6354570953
15389,1970,6421417341
79892,2019,1431389655
7352,2012,1336765526
44578,2019,0024417935
1101,1972,2317055582
86475,1978,6625298080
35477,2009,6758438846
98185,1992,0827286002
89668,2001,2088642438
40279,1990,3166943441
58357,2011,2255039913
41973,2007,5328403549
87745,1998,5277300002
41968,2016,1580168101
6098,1970,7331095769
96691,2018,4444995966
35536,1983,8965241272
86935,1972,0611322805
58106,1970,4675637876
32199,1971,1770281679
57905,2011,4762972193
12666,1971,7960805983
13058,2021,8283613476
35384,1989,7229422954
75465,2008,3348325393
27745,1990,4753693057
64842,1970,2447829192
67000,1983,2781910499
43688,1981,2149144042
36999,2018,2290943018
18405,2020,3906581076
29085,2019,3692456805
54264,2006,6078627740
99790,1993,8040502526
93728,1994,8311554452
42544,1998,0612411087
57849,1973,3379574611
40279,1980,6635495058
73089,2022,0298502036
21409,1971,7273592006
41111,1979,6386541219
37022,1993,0227984507
89074,2023,7439671817
28055,2021,1077767754
26596,1996,0530676398
71408,2019,0210212863
81684,1989,5655473609
56296,1983,0752063621
53258,1999,7098317098
99467,1989,8145651197
6469,1998,4988357507
41791,2012,4585271944
8759,1973,2136232888
50166,2005,5128307656
33725,1984,1284671878
59403,1985,6502607009
96827,2007,8202303021
56784,1986,9819971725
61496,2015,8305362925
86795,1990,7780069679
39206,2012,1777271711
57598,1991,2542728113
50836,1989,8217140124
14871,1976,6288600820
64635,2024,4476616581
28924,1993,9548653635
3751,2013,0447148311
58434,1983,3980808825
87156,1990,0969544401
79013,1987,1565118295
26860,1981,2352822037
47975,1993,7691028467
27056,2014,2377566361
32841,1971,7443926938
8392,1992,5153994572
85356,1981,1038604154
36372,2005,5913190016
44774,2009,0988525015
76522,1970,1517252958
97836,2013,9483710236
52358,1981,1548621396
2722,1982,5829246887
91809,1975,5010241363
34358,1984,8115907230
87661,2003,5787265469
65438,1986,7178839073
840,1978,7936566954
98269,1971,1595182551
74921,1991,8136696285
26486,1984,0355605957
46904,2016,4298838392
92261,2005,0675472847
94873,1973,7890466755
18061,2012,6471783796
33237,1996,8334548792
65312,1980,8854215905
25976,2016,6976038493
26969,1996,0867105171
75667,2018,7409701716
42325,1985,5371516180
55595,2011,6396341096
75529,1979,7520145219
79975,2016,7937558325
80457,2018,7645289420
47374,1985,7744802204
70798,2018,7376635540
16238,1987,6673287317
23389,1972,1666981566
11994,1994,2562460494
6234,1988,5624501190
46805,1970,4451127965
41458,1994,9074231400
55310,1991,1929209148
83942,2022,7500240937
1832,1973,2831988771
24121,2023,8160564595
68541,1979,3796895852
22728,2015,3075314040
81828,1983,6613519715
2605,1974,5508096311
45040,2010,1621955598
48755,1981,0126257464
34981,2024,6744889571
78832,1978,1497461076
94636,1987,2413399724
33081,1987,5964758595
7577,1982,6994441813
36685,1985,6691416311
17154,1989,1851593304
37382,1993,1259852204
69928,1990,0395971087
15784,2001,2664410996
33595,2024,0369830907
88288,1987,9179315510
2851,2012,0338084256
76376,1974,7803201281
47514,1977,4792815735
98557,1978,1207051926
24514,2019,1341882812
33953,1994,2306549006
14575,2009,6250526569
66709,1980,8625900193
23538,1987,7635385113
43667,1986,6143212588
82212,1987,1819021740
2468,2005,2998441797
24610,2010,7756404170
39210,1988,9360509432
78016,2013,0874887506
62717,1993,4156393336
25237,2019,6006760933
26815,2002,7459547764
60630,2022,7379071056
36817,1971,7001260248
85360,2012,6606375057
26213,2003,6991134395
52898,1982,8926436311
99972,2020,9973106743
83376,2009,5485658879
96960,1998,2023785041
46626,1972,7865701186
79133,1976,9542042435
8735,1972,0292201294
99655,2024,7825376347
19518,1972,2505987601
61168,2011,2658495471
46239,1994,9039564766
15362,2013,4096702852
99214,1998,4678700853
10170,1992,1297733463
65155,2019,3316148657
63632,1983,6962913180
98557,1983,8056067095
78993,2003,9753063651
80931,1998,3665315961
13882,2013,3328202753
2296,1976,6419770475
2731,1995,8580930361
81637,1997,1002386238
94636,2024,4403824342
70365,2010,0382331875
52707,2003,8322447989
99182,2000,9047066953
3554,2007,4807290298
87097,2007,0371528101
95734,2017,3657689318
70350,1980,9201985594
96671,2010,6868178903
67292,2004,1679251453
64664,2023,8381533892
63537,1997,1349143211
83621,2017,9269699006
20478,2009,9858444891
89143,1986,6391805173
7654,2024,1832344668
77109,2018,9110920741
12111,1999,0014754282
12022,1998,2170138129
50213,1973,5212762363
58151,1981,9592802447
11539,2014,0862028671
79243,2003,3942538181
33392,2011,2097249925
91684,1974,9112514597
21700,1998,7351825911
90876,1972,0461574426
93122,1991,9359474796
81754,1977,3539522644
30298,1971,9077899579
9318,2001,5770994300
3701,1995,6108661553
66467,2023,0900880166
70874,1989,5428963911
16899,1991,2015625515
59989,2004,1711613756
26213,1990,6962639126
48101,2016,5583241480
6630,1987,0006529320
58007,1988,3146805357
81416,2008,2557742632
52226,1999,5687165825
91684,2009,7224093136
38268,1980,2909104934
38064,2009,8376998989
24555,1982,3957723883
82307,2009,1559957980
55128,2007,8368900706
63551,2012,3948352309
60778,1996,1632632650
25281,1977,1410567739
52148,2001,7082321975
9154,2014,7574088226
98356,1980,8888185348
29419,1987,2651574310
62944,1994,9546940101
50779,1972,1582885016
80261,2006,7782988072
78799,1990,7715868561
25467,1985,9204295429
43232,1978,5666568182
51762,2021,0457976219
96511,2000,1287165025
76967,2002,0698533883
62956,1974,0687493200
70335,2015,7539365347
70445,2010,6203278151
77734,2012,9342519147
18779,1990,8742903477
9110,2007,5245497297
23758,1979,4870335457
43139,1999,3840957238
82199,1992,3700927584
56792,1981,1832977487
81846,1983,4143980616
328,1978,8619689963
40600,1988,2895961598
81959,1979,6068124169
85742,2014,7260784395
56850,2013,9459704540
88057,2020,8950632111
51953,1979,3875571494
5705,1988,4330915878
64314,2011,3475784196
80561,1994,0964560737
49128,1977,2078217661
32438,1993,4969417126
50738,1996,4000736215
6062,1986,5672321664
34003,1979,9115782109
10045,1977,2857937754
25280,1980,3381487717
81312,2007,1565255337
50555,2003,8714019431
18651,1979,6010588567
10933,1997,6647967002
94960,1987,7642474253
98617,2013,4495683580
80619,2022,2902275785
54802,2002,2140263161
66988,1976,0308811713
42370,2012,9878886244
62292,2015,8427689830
91774,1975,6672230216
84514,1997,8160915878
45425,1996,1076231248
23729,2010,0615222599
7840,2005,2868165291
60218,1997,5536595748
17354,2018,7647122138
4289,2009,0768973763
8612,1996,7407151240
17479,2008,1535258336
76643,1977,0491166534
15516,2022,2906649380
55034,1973,0989143021
82270,2004,1795551356
80278,1993,8775248783
8687,1972,2469227278
96691,2008,6655907854
17342,1977,9708600170
72048,2023,3610711776
24254,1988,5553694620
44445,1988,6892433138
20473,2009,5838708497
89953,1970,5764233503
20451,1993,0086856867
82437,2009,3521474102
94181,2004,1529403351
96437,1990,9722841553
2219,2012,2446212425
98507,1999,3715682933
29606,2004,6796798456
48248,2015,1670391110
97824,1972,2868490631
8981,1993,2292310040
21067,2021,8438580720
57006,1985,3362968941
27321,2010,8092987613
66969,2011,6245257857
49128,2011,0043122011
88745,1976,3088974281
40834,2009,0060161307
46092,1993,1448186214
21268,2002,0768648634
23527,2022,3020951068
22855,2001,7853410187
91453,1985,8800200890
39568,2024,6238086728
7275,1984,8914630121
91304,2004,9897154706
76037,2023,8922219628
89712,2000,6590593638
69935,2022,6759373718
79093,2012,8957275134
72579,1973,9178634845
51139,1972,8517499725
49922,1978,8414492850
99317,2018,5005393901
98042,1979,4979770236
83638,2023,3241062660
74834,2002,5238588951
10454,2024,7799629545
72156,1980,0021225627
63750,2024,7443262753
96497,1996,9236485824
54615,1979,6867021075
5234,2015,8729436168
17771,1988,3820562874
88644,1980,7571963308
71520,2012,2489821018
97771,2009,8263690968
59872,1999,2189347919
16998,1982,5238709915
55320,1996,0351154705
26512,1995,3021484566
79351,1994,2004830192
79781,1978,4359050362
15111,1975,3881706627
38859,2005,4633941448
39187,1971,9498732828
60932,1981,4289063896
24396,2018,4107665311
28305,2004,6534374371
44576,2015,4981255378
345,2024,1452621881
44554,1992,5527503506
88323,2012,4158646345
72458,2011,1112362483
2816,1978,4832349714
55851,1971,3669506742
66417,2021,4186603475
84286,2017,7921626090
26512,2007,8217920042
28765,1980,8896494672
61392,2010,7250642437
45504,1991,0947063796
55287,2019,6128074129
38232,2015,0862459700
67359,1994,8102240957
21672,1991,6778450827
61694,2019,7013068500
66324,1974,0208243588
6011,1975,7617742932
88964,1980,1375148342
69121,2001,5983772005
70860,1998,4235779274
29030,1988,7159219647
49181,2009,2178417984
86789,1973,5238842960
80372,1998,2964208814
17202,1982,3359188051
17889,2003,9865374809
11089,2009,0825186628
44578,1989,3125223724
33156,2015,1835280199
23435,1985,5260253394
75158,1972,9476975756
36501,1996,2987090601
60602,1978,2029047144
73921,1996,4146669381
40051,2018,8282454369
27676,1999,7749911359
14145,1985,6586285744
91866,2007,5707168796
76646,2006,8201583184
5944,1985,5146658510
66146,2022,8704817139
88157,1987,9098214815
57887,2020,0687276380
63849,1976,9044797199
51809,2008,4237094027
15220,2012,2452630526
29901,1971,2345114709
29261,2010,8397755856
43368,2011,3259861884
93023,1971,6506550473
89329,2001,5831815429
80705,2005,3446930963
51197,1987,4758384757
12694,2022,1642859209
42809,1970,3471801524
43752,1990,5508785472
57887,1974,4053829206
10638,1988,2687962575
14620,1987,7737190533
56553,1978,4943110545
48602,2011,3824604662
93758,2009,9961815569
51953,2011,4663443195
82791,2011,9542699221
34003,1970,6426282240
81423,1983,3540425006
89992,1993,2748206533
19966,2010,7492542076
68504,2019,3348534556
94316,2003,2864133607
55007,2015,9222170925
74311,1973,2228035916
44726,2003,0440880887
49312,1979,3514493922
70112,1988,0162787125
36547,1983,0794930935
7097,2000,7150360369
36696,2009,5505327936
88047,2004,7681578429
9038,1980,2699567451
95546,2002,8434202164
64193,2004,6614507206
26116,1978,3681666565
69785,1973,2182788196
97432,2015,8967587434
37860,2019,4364267302
21773,2013,4552222964
93713,1998,9446933110
15294,1995,8823220741
71227,2017,9653354654
44680,1995,0473894546
71061,1985,9455102183
44228,1990,9657072781
65158,1980,8265058790
36855,1971,2778066721
23949,1974,4406229548
8916,2023,2718842365
54071,2015,8845684075
7805,2021,5384782264
42872,2014,0243879296
29919,1994,1626266050
18966,2012,5693663979
35464,1992,3023165592
39479,2002,7060714094
39479,1982,6338991201
59451,1997,4894134671
47024,1977,8234179506
30048,2016,3671526668
98406,2020,9985918161
89984,1985,5024372643
33634,2010,4244603490
29156,2002,4705739591
9161,2012,5263581253
79167,1984,4886254635
34663,1972,6075602668
37438,2022,3459996159
78791,2018,0841123498
14389,1997,8596954386
6171,1995,2186544437
83082,1986,8315242890
96969,2024,5351112524
53786,1983,5199635872
37860,1979,3792866115
62701,1985,0792589276
13658,2003,5307915248
1973,2021,7089359358
87607,1977,6375620697
65222,1979,5074089773
89086,2008,5727560276
25331,1978,7595493595
74791,1976,6578970995
52646,1983,8320179042
71336,1972,4352560013
86606,2014,3528713886
56065,1990,0651056383
83337,2016,5862326859
55105,2020,7351294389
43877,2009,3626644585
6465,2012,5724981333
42904,1984,4902221275
32727,1999,7861854993
67965,1975,5521795248
27782,2024,2087301337
6074,2019,0392611175
63658,2017,0185143422
93508,2003,8245928606
7122,1989,6179047624
35024,2005,7159798068
78317,1987,6267351738
67321,1972,6933780604
61057,1998,1842259740
93048,1974,7950279962
38112,1999,7690118880
70564,1998,1326933953
86877,2015,5137091287
34614,1989,8650021972
6894,1977,9491722167
16184,1976,9649267165
97244,1992,3111789217
86066,1998,0041301536
33759,1993,3311510660
90489,2016,0773431952
13208,2024,5468332253
65337,2008,9471712645
54428,2006,2239505067
66875,1975,1011213368
27050,2024,7143010710
89159,2007,1840254891
86475,2003,6442678107
56010,2008,6400334142
39983,1988,3153764078
22284,1976,5355156117
27724,1982,3776939254
56395,1982,0065322914
25747,2015,8784763538
8202,1978,4657764277
82433,1973,9293664398
76076,2017,8575761377
10948,2005,8190346276
44804,1989,0810520188
11674,2003,0699479455
7066,1981,7469538927
74760,1979,8536640951
38617,2022,7518639615
63632,1982,6529936482
81541,1973,4058579251
49021,2005,9708214353
71937,1996,6182469594
88878,2022,1542473591
50089,2004,7552063364
84090,1973,1870523266
45349,1970,1230791062
85777,1977,0340577671
71095,2010,1891644451
52216,1996,9474282173
93112,2022,4366845691
95053,1976,3306582549
24080,2012,6660115978
87780,2007,9113936229
61928,2000,6310565349
77288,1986,5366166044
75064,1990,0239288059
51809,2011,3973313420
81701,2022,2679111064
94276,2023,2519032430
5710,1982,1236695466
43645,2013,8549463369
77516,1990,3030406593
13662,2010,0037132244
43067,1989,8727996215
48441,2011,8997020783
75768,2001,2852306213
20693,1982,6323545647
38145,2010,2785682277
77627,2016,6837223844
56155,1985,2490064683
29565,1975,7574341164
51787,1997,3231909842
71587,2008,5215139880
74652,2003,9181950416
9665,1975,2989538324
62964,2014,4425781378
38477,1976,7814020609
10591,1977,4171025642
19207,1987,1593528355
69117,2004,8315499652
38071,1985,0516522862
187,2019,6131739480
89926,2011,2058194730
59590,2024,1547728239
74515,2017,3403990059
85103,1983,5858697185
64916,1990,6100130027
53967,2017,5568428980
39407,2019,9786305054
5500,2014,5094394251
696,2020,8481258053
49143,1972,0926455711
25554,2015,3598258791
68728,1984,2119682319
38060,2017,0786642260
55987,1996,0910741347
81726,2006,3330463316
30055,1981,3298747840
11930,2004,2095967815
42444,2019,9859163099
10416,2020,8977777863
45718,1996,8421743651
9333,2004,0487088831
80053,2010,6554167229
14405,1989,1285364382
81781,2007,4893278260
98704,1998,7737953919
26279,1970,3099989489
80998,1993,6449221996
13397,1998,2483134374
13581,1975,9417032096
94366,1983,8469583583
36816,1984,6743217637
94112,2013,3334079345
69781,1981,4621151253
45958,2005,4556271590
6103,2009,6604288368
25381,1977,1087516451
82566,2017,3234685871
18477,2014,4572826707
10064,1979,4119321689
58331,1984,8861417160
37457,2023,4000505379
33517,2015,5343309948
19564,2020,5055459077
89167,2018,0899217711
98870,2012,9887012538
91051,1972,3887019217
72986,1995,3966345482
18512,1971,7049331960
93010,1997,1766675827
26940,2017,6460993464
76534,2018,7905578154
38577,1974,0399262901
38443,1986,3101184600
72802,1997,7526177715
43553,1973,0653369889
66647,2014,5377802730
32712,2005,8751139357
50818,2015,8580228951
20244,1988,9829062264
12115,2018,3861526727
38116,2007,3092828422
65155,2023,8184413951
85157,1972,6107025497
62851,2018,5889563111
10022,1980,2373244262
74760,1989,2516453264
31633,1991,8697859305
50272,1971,1986965919
69654,2006,5001109260
18779,1997,8955044394
7468,1985,6052816692
36606,1980,8079981675
34181,1980,9083655856
31763,2013,4233029924
83952,2012,0591881680
49347,1990,9521555766
86502,1977,5433758105
66809,1978,2988837169
38512,1985,9710013392
8880,1977,9603572050
22839,1998,4434942992
15362,2013,4107553192
630,1981,4075834110
79351,2014,0038028197
3438,1995,4418240151
8113,2002,6193301169
49090,2009,6670525967
19179,1988,7613249381
96632,1977,9851883928
44672,1997,6123829606
63483,1972,1321873468
29107,2017,8458678261
89329,1990,5915077158
52054,1995,8248410902
83560,2006,1659511436
68191,2015,7590287379
53871,2009,9520383409
57597,2015,3124729281
37790,2020,3292630340
24795,1972,5953422407
97669,1978,5316207766
57578,1990,0154391965
67686,2000,8391241798
21966,1999,6928752213
31222,2004,1258751207
54455,2012,5444809233
72022,2021,6546734934
95545,2019,2189289156
99620,2007,1212721090
92461,2018,7814463768
74111,1991,1072521115
2327,2000,4806592082
6290,2012,5592789419
