CustomerNo,SalesOrg,DistributionCh,Division
46981,3579,323,496
66830,6385,3174,1224
18530,1680,6166,9211
78572,2929,1843,3675
3708,2420,9845,2247
40631,480,1166,815
34283,808,94,278
21631,8334,7548,6135
92529,9908,8302,9426
45415,8906,1078,2708
91423,3368,5312,1654
69448,835,6198,4696
75794,9896,8871,6889
59873,5970,1788,8399
17791,8329,6394,8823
62647,7304,492,5655
38925,7685,4743,8676
88820,7701,4222,9671
21770,2025,2236,435
13786,6867,1261,4199
28390,8201,6428,3649
20358,3651,1770,5146
40286,4569,5483,1085
56103,5005,3024,952
46585,5724,14,5324
32693,7917,7665,3476
41446,1835,6539,597
1031,2184,7278,3679
70249,6788,4734,6101
73575,5103,2648,8286
60392,722,3571,108
2316,7817,2704,9937
81637,8020,6405,5143
45780,3401,3156,1554
64034,5094,1035,8334
74188,7841,3316,9982
18939,9623,9716,1973
33275,6228,7118,5411
21521,5651,3167,370
26474,114,1291,5777
88247,4775,3462,1662
22059,9587,4552,7796
733,5642,6396,5856
595,1127,6403,4606
83528,6767,5920,3710
22993,757,3431,6493
40669,8123,2395,2824
84533,1533,1054,1118
11612,7037,6398,3758
4000,9833,33,5229
57085,4295,1859,1499
33750,4030,12,7953
36261,7447,7649,9849
61588,3899,6073,1202
37976,5085,1579,3723
58496,4419,9221,3350
81156,9720,4596,1491
80894,952,6993,6696
40247,2879,454,9313
1711,7210,6216,3191
20421,5935,7942,9672
72449,6477,2038,6316
48920,721,315,827
20460,51,8508,9059
77153,2607,5187,3847
15409,2178,7982,2796
78293,2233,9258,3185
28279,3852,5422,3414
52676,8743,8780,9357
18558,3553,3285,8362
19648,7276,773,5533
43903,3203,2571,1441
34117,5419,6826,1998
68966,5919,2418,8283
62339,8390,1007,1535
17644,7519,9096,7417
17002,9176,7255,946
72034,1012,1343,9775
54117,3609,491,3623
29541,7874,3561,9755
38773,4552,1383,1621
88742,5495,5438,7393
87712,2945,1458,1511
63767,4351,4070,6620
85889,9837,6362,1332
82057,8570,1433,968
10581,4465,895,6878
52474,8771,2753,2223
83814,8976,9385,6150
115,3741,4820,6828
17688,5579,9673,8837
63262,5276,164,362
73534,915,1651,1140
4208,335,4635,2163
61578,6938,6592,8214
37465,5908,9588,4815
73308,6305,4992,2771
29750,2225,4239,9557
91781,2585,8027,5813
12843,3727,9830,4174
91464,4504,3273,620
39493,168,562,9320
26969,4362,6899,3843
46228,7258,7203,9074
7429,9794,2473,7358
11081,3125,4957,6071
52727,80,5652,2578
10657,5520,3648,2333
90754,5465,6456,2507
27561,1223,4321,9288
90467,962,509,4165
14671,4222,5252,9255
50813,4244,2955,5269
20502,2987,2110,1686
23110,6736,3900,6648
18802,4038,8520,1463
12618,8345,2850,2616
66425,1777,9331,1585
69770,6396,7446,2725
6076,4801,6229,7102
45925,5645,4852,935
47498,5246,1851,9328
33013,4268,9947,3713
22278,5469,2371,3737
63598,2763,4960,5102
62681,5844,4292,9468
95262,9309,2408,200
62720,1671,840,9479
76083,8687,9512,6822
67020,5129,4418,679
84709,4691,8845,1057
44625,6842,8290,4094
63631,9005,4007,3953
64927,4970,6765,2904
85535,8890,4060,3257
21733,7446,7946,0
13595,601,8997,2000
9304,8489,9974,7039
13028,163,3570,2107
75364,3862,1560,4819
99421,6494,2165,2131
25010,4623,9549,2590
2950,7280,9276,7073
79021,1556,3449,9441
5615,7441,1986,7269
14912,2694,9631,9153
32297,420,3814,5035
97025,4620,9085,9997
35204,5659,2941,3676
47507,9939,6318,5854
50293,374,7483,9648
53898,7886,3445,1584
64068,2911,4824,3126
5376,3308,3928,4631
57281,3387,2847,9563
39935,9015,6724,7099
97285,6436,8649,4021
6102,2071,8960,5217
20713,9151,656,1080
70315,2911,8234,2807
3288,1381,7316,7340
96866,9554,7893,2560
61442,7959,6045,5333
69724,5149,3785,4472
13811,1422,2101,2261
61553,3114,5934,462
59585,1714,2649,8452
2462,1197,63,1507
33483,4531,9507,4825
52849,6734,7062,4955
31840,5351,2393,5550
60567,9761,9165,4989
53850,4035,3776,3217
91561,7906,1622,4347
86367,1661,5422,779
73403,7026,2576,9915
6671,3198,8148,8184
24607,3634,734,9298
63290,3545,1115,207
99416,8827,6242,1693
50306,4283,5809,7090
23848,5483,9982,1937
22875,3438,4632,6591
12037,7141,7092,3713
31615,4584,8555,5190
60473,484,2316,2752
61347,3015,1618,4482
87631,224,6468,4437
40689,533,3234,7941
12452,8142,4094,193
94772,4325,1648,3576
74564,789,8073,4545
4978,8412,6443,3437
10555,2876,3311,4850
76014,9512,1964,3796
68894,6734,6215,2570
54788,1462,5111,5530
26957,5463,2877,8830
38296,4337,5754,6319
30910,5496,7318,7766
51984,4890,4692,2684
74796,5673,2197,7373
67318,6154,1420,6030
97724,4094,5113,6365
28928,3899,1005,241
38762,3480,7724,1990
21252,3714,3233,6731
930,265,5538,9455
60132,7730,9514,3493
4467,7591,3338,5415
96272,5179,9705,3451
41181,4659,3161,9591
76837,8575,3239,3935
90579,6845,6534,5698
29943,137,3441,1012
78139,948,6851,5698
79035,9622,1757,140
62301,3356,9620,2836
69033,6270,8595,954
53624,5315,4239,7558
23262,7217,488,420
29544,4654,2520,6362
45858,7131,5373,9580
29734,7882,2333,2803
48286,5867,6371,5426
61847,5274,4485,5757
60751,288,5683,6671
45640,1741,8915,3411
32591,3820,9220,1850
94070,7732,3328,1453
33231,6243,4777,1652
66550,2728,1304,3489
16834,719,2458,3840
89703,4661,4726,9656
53387,6037,8813,9694
16023,9862,9174,6455
38014,1657,7615,9516
55001,494,5919,2069
41887,9244,7837,1549
13832,5372,2229,3897
57024,9277,7936,473
84969,1457,9875,2483
12551,3238,7515,6829
79552,7010,9597,658
95714,5239,3051,2523
74261,3049,5254,4486
50902,1868,5511,7336
21767,7175,9954,7910
11458,760,5856,5670
46610,6187,6137,8256
95476,8039,8234,3007
93323,9783,3380,2713
51500,4126,5233,8123
32198,2652,6092,7046
3202,85,2554,5701
87491,8857,4502,8709
13513,3748,8952,3376
24893,3519,752,9199
99150,5714,6060,5670
58065,5356,3479,58
33428,3521,5749,870
87258,876,7050,4881
19370,2118,7494,1396
37631,4297,7560,3881
72570,7290,2146,3189
38627,689,1944,560
299,7258,1522,1788
37206,9287,8627,6383
93705,9057,1014,1173
414,3681,9195,2863
45070,2521,8888,7273
4421,8358,1613,7130
86813,6540,3032,9954
63626,9878,5055,266
70235,6814,841,2866
3230,9780,9567,3650
58008,9562,9463,5281
46678,2607,6000,5930
16339,5604,913,7673
5424,7023,6819,4427
3560,2075,4487,1264
54543,1416,1874,5096
69504,9479,1407,8861
10255,6958,8657,1089
85044,7870,9496,6540
53440,9355,4013,4688
12775,6953,5300,7882
12539,523,1332,2190
87132,3953,7357,1578
97746,2397,1845,3247
84448,915,5233,677
30624,9991,8985,4064
30015,1327,5326,847
58180,6254,2102,324
59077,8360,707,4207
17029,7568,4825,9773
84048,2430,1349,3944
14186,8377,2135,6860
61933,6116,600,3775
5848,9373,2195,372
4892,4911,7828,8340
31414,6210,7607,9044
40849,4103,3261,3663
7568,1462,816,4630
63466,3589,1530,5199
85870,5237,6269,4597
6818,2981,6055,8437
78526,9912,2981,4585
9701,6884,3015,6132
73808,4476,8468,1221
72896,7073,9742,9936
67877,3288,3470,6653
95535,7946,4683,8697
5985,5159,9057,6326
94578,517,5316,7227
9077,5431,8588,7315
60330,1947,2614,4045
4459,2354,5130,4015
67625,1820,7603,4603
52608,4053,8501,139
47379,3206,5807,1485
23256,7856,6216,6786
13312,1480,9246,1177
99672,3347,1937,4797
43547,9087,6761,6773
26585,6059,262,3694
45476,5578,9197,9221
76313,5264,6320,4864
43157,3021,5502,4809
25790,7847,6317,2924
99025,8318,6185,66
99419,7191,5110,6276
75678,2878,8166,804
20241,7507,4175,1563
49372,8069,2673,4058
19312,3242,3796,4398
18746,749,1186,4370
85831,9331,4671,5452
22009,2595,7149,928
86311,3507,5200,5173
71927,4328,7410,8625
72559,4359,6969,145
60645,1823,86,6342
40085,504,4224,8307
703,6389,3368,3621
77944,4380,1523,9426
66482,9221,4251,6031
27592,7278,9894,6642
40898,7439,9777,8195
19511,9747,9232,9316
71998,8083,1996,7085
91026,8740,9323,7032
47510,4793,3195,1141
60665,2899,9596,2150
36862,1795,4920,8001
11467,3140,5540,2428
64719,4923,2197,7615
36529,227,3570,6355
47197,8747,4883,2778
13820,3014,6555,3852
39526,367,841,547
10584,3231,3009,6763
53066,2758,5201,7100
63120,6377,9406,4918
90159,2850,9466,6679
74829,955,3111,3904
26287,4519,6324,6755
34725,5795,8864,5963
94124,3384,5513,4032
99796,4963,6064,6539
24074,9651,8627,4748
57053,5338,2363,7533
37113,1075,523,2276
56347,524,7637,8900
8786,1842,6913,4017
75488,889,5767,411
28764,8424,9249,7658
80272,4537,8292,5549
73099,7773,5729,3347
68282,4997,9238,8945
11089,4679,3839,5775
46602,1761,5310,4528
36225,918,1581,8081
99924,1144,2352,8195
49943,5607,5707,1998
64398,2251,3954,9491
57989,6885,4822,9975
46728,3923,5675,2857
41508,3888,3660,8577
53036,3874,7327,5357
27598,1950,4662,8539
21261,6551,4945,7228
23391,8442,5356,4639
6163,3170,4239,4045
21399,6843,6335,8827
70853,1564,8401,1658
67612,9521,4551,5340
90168,3506,9876,9448
78434,6579,3972,2986
85392,7818,7226,585
11703,4646,593,6114
29383,4911,7495,4476
17091,8904,6526,4423
96448,7022,5644,9282
9397,2663,6804,8252
71807,910,7488,6362
38100,9160,8241,2057
85768,8757,1979,3968
72692,8127,3826,1960
34023,3031,5897,1823
1780,3102,8322,8915
43187,3342,2163,4266
17596,7990,1585,2683
16812,9401,3732,6653
31528,8391,6438,9055
60148,4061,7335,828
8245,7273,915,1816
80464,8460,7949,7439
94297,2106,2919,1269
96581,517,4935,1184
33671,9093,1791,2426
47293,40,6225,9216
67406,2942,5825,8921
25225,2778,1570,5183
78177,3878,8694,9209
36098,5958,3262,9791
54785,8595,5576,8225
67294,1359,2247,1125
69404,2503,6488,7627
67512,9958,2387,8255
76589,6227,1843,8112
69200,5684,6915,7966
66574,370,6960,7014
97689,4133,8891,9909
42904,4141,8447,3774
13972,7971,7695,7869
41570,2811,9116,2207
23486,6362,6661,3000
27785,5643,6660,5639
35114,7404,8390,9887
77728,3473,7135,46
17472,6223,6634,5305
94582,8269,2434,9034
49183,7778,9470,9479
45264,606,141,7536
97953,9404,6965,9358
37822,165,3475,2589
97881,276,5814,6901
65365,867,1025,9421
42642,8099,142,3552
70341,2657,6283,1425
98773,4380,3597,5434
93350,3696,2579,2791
5642,8545,6374,6855
89006,5246,326,5047
73939,1221,7195,8560
67445,673,193,1886
56207,1676,7070,4907
81202,1729,623,8621
1857,7698,9248,1029
76912,7633,4490,3855
62752,9365,1310,303
19586,1441,7674,3431
19061,3626,5194,4989
26486,5375,1228,3399
29905,2798,6465,8497
39819,534,8665,2701
65364,1675,4792,1084
65536,8767,9022,2788
80328,1172,3764,2784
62434,6337,6325,3271
9872,830,6740,5892
86619,7602,8155,2483
5352,3932,6791,7603
5639,7227,9701,7890
69536,4915,7231,643
97002,1711,415,3260
48067,5494,6196,4973
83589,7140,7517,1654
85089,5018,6382,4078
69241,884,3566,2889
24224,4681,6988,3431
80760,5082,6813,2290
93955,684,5731,5523
97889,3047,7269,6118
81658,6987,5967,9519
88673,2929,9797,8065
71764,6818,4419,248
8394,4,4422,1298
54307,8811,3184,8753
2345,1484,5206,17
52699,3683,1498,5472
46885,1463,12,2717
2518,4653,7388,325
63069,9011,531,8909
46049,7724,3731,8047
36755,2106,7543,2324
65762,2581,6140,7090
61198,2599,6942,7341
33213,651,9358,1191
53410,1060,8868,4967
29079,5496,2416,1090
18324,8643,542,3109
54763,9408,1462,5743
34978,8406,1993,6079
80777,4756,8810,9515
96597,2796,7206,226
58418,2260,7200,5858
19756,7521,3023,7860
80287,103,7844,5384
44808,9491,8770,301
53659,2365,5329,6948
43110,62,1224,9283
93141,9049,3052,4886
94006,4952,884,3122
99935,3029,4423,5816
43154,3946,574,8401
29219,6972,1217,1932
7643,7008,5048,6278
95579,3532,5112,3178
33701,6476,6099,8667
834,2534,3332,7759
10743,6371,9812,3347
77165,1206,2095,6940
27202,7604,6730,7361
20723,2163,8493,6173
43541,4206,833,7354
23272,1734,349,1788
56713,9477,2647,9463
24645,4066,7026,9367
72671,9277,5138,1553
54308,9458,8965,9014
59040,7478,5158,3888
10586,8006,716,5302
48300,7873,5260,2655
12098,880,7371,7206
15434,8412,2934,676
43213,6724,1278,4834
43677,5624,9718,1615
10624,3552,6361,3943
35415,8946,2386,2497
74634,4602,9997,1881
6252,7678,9018,8893
24589,3563,1964,4998
52196,1545,7265,6540
22566,5946,9090,2614
11760,2922,7700,2585
28653,7356,637,3273
23935,53,3870,108
59819,2258,4496,1807
61163,1340,8511,8106
436,572,6619,6706
15901,9500,6282,7677
21333,3583,2729,3307
16568,3439,7925,7701
80168,9099,1510,4342
10087,2454,7305,95
54256,853,3368,7850
42335,1555,4364,181
9073,1187,6781,6959
64862,7436,9177,9596
72942,9123,7432,9803
6794,7956,7222,9106
53909,9780,9181,5045
4172,4549,7085,5285
84730,2401,9073,755
94173,2347,288,4379
93093,5157,2620,6591
23507,8971,7517,8598
93816,3387,840,7442
15313,3915,7697,3470
70409,7367,2513,7108
73053,9511,4476,6220
79149,2479,6892,383
60255,1264,6256,7953
81381,4335,5254,3483
94333,3752,7584,5041
80586,2553,8071,5796
19349,3259,5340,7490
20686,2506,2958,5049
38817,390,8989,9639
48403,4430,3309,323
3860,1443,7251,2015
85668,9065,6239,9262
53240,3715,6643,4811
7211,6787,4845,1964
32428,9383,4310,9934
13320,8580,463,4964
95571,2737,3846,4735
12269,6776,8930,1929
1422,8583,3037,5357
68234,5216,9165,3831
75936,220,1274,2021
60287,1010,1351,6908
57339,1454,1876,2954
41179,476,9224,6488
35674,6453,173,5118
59752,5809,4247,88
11697,4952,1162,3892
63677,3097,1266,1550
7236,3777,394,9480
98952,4724,1066,5766
96782,2733,220,1321
52538,7544,5326,9465
57237,5913,3481,8353
15453,1142,6612,6580
28489,5703,4840,2234
66251,9403,8958,355
55868,8679,6226,1762
13795,8577,4010,4622
32854,9199,284,1747
21160,228,2142,5066
93908,4919,2978,6594
18698,4535,2202,3183
77604,9519,4350,1704
52150,3682,4222,3102
42709,4454,5348,7609
83859,6093,7895,7505
95936,8376,7237,4142
98789,5460,2352,6044
98702,6686,8203,5567
2932,4953,8188,5020
18328,6322,2814,8735
94648,3917,5346,4995
2176,5505,5076,8038
50017,6342,9852,9400
49104,94,8010,7730
17273,3680,6118,5393
42213,3902,6529,719
44405,9058,2574,8048
38373,6407,3162,9455
20646,619,1817,6894
5303,2744,2789,941
28141,7998,3152,3263
41844,4112,8307,6649
6302,3884,9938,3704
82905,5985,7221,7094
44551,2952,6063,2470
30673,1098,9379,3073
59885,4022,4232,4116
79599,3627,2428,9951
44329,9916,530,9042
45798,5921,7450,613
92865,2358,4368,2694
61259,878,4909,9809
9413,4602,179,4439
72767,4825,6732,4238
94125,3952,8809,7078
33387,4370,6120,4456
68934,4651,8591,5626
32439,9525,9186,1664
44117,6430,5637,1100
68707,6313,7418,3404
74854,431,9495,7154
78463,2332,4438,6325
55341,4745,885,8212
52789,6644,5956,3178
28435,5473,4650,2979
41922,5323,9719,6548
40490,1598,678,1344
50418,8104,9844,6936
63164,6136,297,4862
76484,2479,3761,5780
68461,3789,7244,2276
36859,7870,6540,6682
88732,6380,6565,6304
71767,114,388,2444
40977,1824,6462,2737
67591,7779,2022,9579
3751,6107,3274,4305
43496,7579,4907,6188
92722,7597,1785,233
17064,1051,8456,4009
6616,8727,4984,2408
87229,6530,2686,221
55572,9374,1760,6356
46013,2873,4536,1652
66295,7297,4900,4054
42815,1328,4279,9279
18370,3438,2155,7933
47863,9094,5213,2056
59026,2386,4509,6989
92498,6867,3463,2990
72641,5362,8664,6999
85002,6220,7886,128
53975,8736,2860,7803
89374,6823,6447,8577
41683,5003,4145,4269
81175,1591,7624,8046
46410,7825,3837,2830
84756,2159,1442,6525
77970,4137,8756,9935
88392,193,9103,7287
85757,7192,4944,2477
66322,122,1675,9726
80319,8760,7132,8958
92984,4960,6200,8367
84417,9578,5894,3944
23734,7432,4887,8327
72075,5194,1315,1383
2936,5979,7959,3577
32361,3308,6763,6389
61460,4029,6564,5782
37231,8274,4036,2485
43699,6122,5252,8902
42517,1834,9024,5280
24773,8122,1833,7804
98164,7931,4762,871
93029,9745,6532,3854
85865,6595,5005,9337
50629,7156,8854,6187
58821,3414,9394,8780
18342,4708,1829,3384
16915,494,7954,2609
92266,5169,3107,5907
42591,5219,2851,9083
34930,8561,4585,5988
46552,5067,7070,4617
95021,6146,8145,6690
52453,4184,2703,1792
251,3417,2889,8032
37197,9140,4505,9478
48124,8636,49,3379
5698,6157,5351,4077
36381,3676,3521,6487
86816,8889,9690,3833
98615,6242,815,411
36574,8830,9579,9040
49214,4164,1114,5625
38170,6619,497,8353
36935,2833,4807,6945
60383,7380,4527,1640
99612,8135,8442,4294
22219,9583,3968,1622
9042,2771,312,2928
73845,7909,1828,8959
27429,9843,9476,3495
19038,5506,5483,7730
47326,6767,1558,7850
89642,2096,5282,3487
6373,9842,5697,7712
38882,8209,650,2073
15120,3913,7373,9845
34557,8784,8866,8942
44935,9395,9002,5163
67496,7283,2405,5287
68662,5984,2681,1368
58338,9748,5806,4792
56816,1216,7455,8745
7819,729,5362,3432
8061,4085,960,1800
26138,2044,3340,6632
16996,2827,6182,4785
26594,1169,5538,1719
63627,227,6469,7220
39341,3028,243,7574
59500,6486,8884,8547
7613,5150,1117,1344
87077,4080,2947,7246
72111,2300,8246,3289
96088,9332,6468,5295
83945,5269,1085,6465
84259,1534,7381,8687
86088,1795,6284,2438
40225,4008,9255,6572
58885,214,4155,9884
12445,7997,9631,62
85102,9173,5503,2836
33112,4798,3636,3235
35811,1355,3750,8350
19932,5926,9978,7735
81238,5701,4825,8450
33861,286,8703,4772
57801,3632,9394,6565
25989,1516,8663,8732
51708,5136,293,3675
84096,1072,1207,5412
30043,1016,4326,4295
40574,838,1699,9084
84877,7468,8620,4007
10517,3821,7625,7579
84036,3753,9461,2281
17338,983,9208,1824
21235,7265,336,4388
15162,6717,7757,687
4462,9375,2058,5366
44591,5291,3880,5946
55901,6097,3295,9538
8203,7780,5396,8362
45975,3519,4588,316
69921,5194,7834,3620
38253,9929,6134,9864
50805,3213,8750,3470
57920,4252,3804,226
19065,9385,8956,1995
73285,7829,1798,2668
18882,1417,2542,9302
72380,7065,9001,2001
80482,2136,2185,9928
80118,6038,9124,1338
7464,4015,3688,9486
70931,2269,250,3608
78641,4285,8651,8719
29552,2323,6336,7764
54649,7748,8626,5934
40994,2814,3501,6763
3884,9602,2683,7458
8710,807,1192,9162
67471,2644,6208,5739
33524,5493,1974,1191
49130,3901,92,2892
84615,9264,2522,6344
25400,1773,4350,7155
44101,3758,8792,9073
65640,1483,9392,7784
2866,9636,2680,734
32842,8979,3945,3046
52404,798,8547,4494
97485,5881,9599,9852
85452,5922,8313,8960
80700,2455,4418,818
67731,4248,9804,3047
65954,2699,6389,9361
66381,5440,2459,4198
56346,117,5292,4316
93442,3416,3251,4261
88895,7906,2461,5569
73934,4586,1513,1395
81470,7618,6,7322
20083,4690,6288,5056
84174,6266,2213,7832
37776,4035,4221,9107
2424,9507,2269,5755
17609,4839,5298,1765
13889,2669,9708,8471
16691,9357,5223,6683
79640,602,5496,9012
7171,58,240,3909
83160,8580,9599,9633
99871,911,6056,428
32018,2768,3065,9052
49898,5595,4089,172
57742,3896,3647,6892
31193,212,435,2119
10785,2640,3348,8814
61568,8649,4292,3607
5513,2266,125,4767
9320,3092,1413,9660
25866,4398,6724,528
70715,8743,2257,3663
20044,9660,6271,5930
24950,8866,4908,6484
4828,2865,8520,5810
77232,9237,5444,9910
99225,6303,8132,4259
41381,1118,4517,6542
44872,2544,3364,2076
51258,5552,3487,5226
27319,3512,8661,1885
14349,9293,5001,8110
98656,165,6178,8463
52484,9495,8521,6150
6666,3314,4229,6961
52723,5303,4217,2068
4950,1033,2257,4049
77342,7066,9004,4540
61790,7165,2765,5281
35637,5646,457,1925
19176,2927,957,9263
75197,4528,5411,5558
56337,7045,5419,6463
97701,626,4129,3455
56191,5175,1243,3996
50914,5694,2473,514
11907,8212,1674,9295
82360,7575,9505,3287
81803,7442,6138,7204
28309,8067,1772,4552
54659,6186,421,5954
39690,9862,9702,5330
76860,5478,3410,6420
448,4961,4707,5962
45968,145,4834,6622
70427,4816,2530,2046
64853,8377,8970,260
48621,6886,9169,517
90745,1826,845,7074
60302,8566,2368,7877
85242,1494,8319,3480
99228,6317,3307,4670
25016,3471,7525,4165
24523,1473,3697,8674
60350,3765,590,306
94907,4528,6608,5059
69978,1305,1748,4439
54172,4629,6033,9515
56341,63,358,4155
27060,2881,3098,3999
12902,7283,2763,2622
23789,9314,7180,6465
45448,8232,256,3
6255,2811,4967,7543
77967,7444,4368,2744
10612,2958,3279,8264
54049,8331,3489,7108
53252,3789,7914,7810
17575,9345,4984,1325
88680,1211,1736,1381
96699,5453,7188,9341
27976,5205,814,3241
11326,4980,512,9380
27416,4068,9130,1828
63139,2996,2531,6647
53526,6860,5985,9465
53556,4561,9387,5122
32593,9558,8626,6477
50990,3285,242,7293
41704,2026,4580,5556
64958,9662,3090,9681
73254,1399,2218,648
13524,9646,7811,6245
45488,3087,1652,1280
1837,493,7743,2402
57689,6322,4147,4966
89333,9630,854,5682
53588,7627,1188,2697
51696,3376,7370,1830
45092,5286,3754,9067
19209,6295,3357,3748
6081,3845,1487,7293
23644,5610,4270,5092
28333,8648,5092,6583
97133,6922,9624,8494
11774,9292,9126,5294
74688,1418,234,5156
32999,5668,8158,1020
5349,8719,2731,7036
20171,7605,2217,4320
5050,1861,5224,2120
20196,6846,1217,5098
88507,2237,1181,5914
82207,5029,9491,7111
34920,8472,3533,7110
5850,5,7260,9955
26921,2343,662,8605
85473,4639,695,3758
37975,4147,2044,9060
92423,2692,9143,5605
43669,8842,4326,5784
21914,7436,3397,4945
59645,8699,7688,6372
82182,1046,7015,484
59111,2376,2331,3111
83123,7329,2069,773
30478,7487,1131,4569
15358,958,5361,9840
84876,6613,7619,8566
58746,1053,2900,2210
91313,4573,1297,3238
25025,3445,8878,6829
88171,402,5159,9834
71115,3608,7259,3365
69102,4142,9314,3089
25867,4516,2220,3455
16215,4327,6951,5193
58807,4469,7516,5066
38321,3173,1329,8410
91134,8384,5939,4088
30436,7917,5273,8570
38519,7514,4538,8890
1527,1490,350,1626
93988,2013,8879,5813
24534,5209,37,3032
41394,2156,6128,3868
73061,3706,8095,9757
42206,8034,9464,7950
35174,9164,1484,9610
1069,9477,3584,5526
83480,7385,4029,864
14146,5994,1981,810
88524,3706,1107,3634
41021,4688,5746,3939
50073,583,3148,4649
95542,4173,2542,6771
80140,999,8403,723
36111,234,903,46
65670,167,475,2085
38988,8500,9859,5834
68647,4447,6336,6300
97317,5315,7394,7379
54434,982,5097,5056
15973,3406,2480,8383
82006,6791,1817,8136
49944,3792,1966,119
97905,1325,6541,6789
9004,7905,1616,1725
55188,6913,7288,5830
31396,703,8495,2394
23521,7576,6621,5301
24072,4496,2413,8729
42513,6758,6559,4042
38799,6083,147,4948
17603,5868,8579,4418
34143,2149,6189,6711
69073,510,5442,4216
60706,9285,6295,7425
2509,2817,4828,8929
41742,9868,7386,8098
73391,8330,6402,226
21482,3073,3938,7816
31380,2510,6632,31
81612,7613,7633,7779
47765,4291,6073,7671
29072,4343,1818,5173
20249,1762,9188,5422
21566,6987,3675,3299
10882,7018,2030,3551
1990,2893,4778,5416
14702,7951,1079,4976
77431,5854,9809,9926
70756,5247,6428,100
41241,8390,5997,9854
13717,3416,9009,9937
7423,307,9852,3922
32325,7855,5240,1068
88548,1661,7933,3323
21922,2122,351,6436
92105,9298,4320,469
54724,7945,6986,8769
42111,315,3914,4117
81694,7261,4261,8336
39518,1086,2602,6622
85636,9648,4935,9338
62318,6395,7220,1245
52945,1467,1577,5241
45324,7324,9921,3338
90487,7734,9185,3268
23143,6672,3867,7531
91166,7382,2461,5234
70348,6529,6891,5199
53444,6419,8664,4816
51380,7258,8446,6216
84817,6990,9448,8249
59952,3993,1708,7770
82332,9217,105,333
95735,6696,4648,8619
21778,4423,2060,279
44602,3211,9408,6129
73160,2580,5088,1673
72697,3537,6861,2885
40985,7953,3596,8365
11106,301,1803,5107
37202,1061,3937,9644
39921,1043,9662,402
59803,7906,4247,8160
72855,4834,8013,5906
6902,202,2691,4191
5866,1253,6726,8888
71525,7215,6801,6618
28623,9232,5454,7185
15702,9694,7048,2249
14740,3215,3748,7137
20012,6572,1892,7758
78087,2870,6208,506
12509,8851,3101,5689
60664,6506,6960,3389
91180,6896,1054,30
91532,1409,8594,5278
11541,7476,5812,5512
38648,5637,6149,975
36507,9310,2792,3408
25170,5095,5702,3702
64867,3935,5951,7106
63316,1703,4331,5313
22475,328,6336,8902
55625,4063,8282,9864
72664,8452,51,4470
86247,7298,5791,6415
28413,8863,6762,2180
42664,535,4681,7619
99462,2149,5437,9861
64403,530,7375,5583
60458,1633,9058,249
60435,9326,2382,5530
7281,6231,9552,133
86941,4018,9066,8386
82753,3253,2337,7692
19069,5841,347,277
92684,8179,6055,8875
22272,9591,7024,7516
11412,2615,8838,5204
55289,936,4633,6286
56924,6491,6313,3605
20279,8967,4197,5092
50425,4507,7202,3760
45154,5820,3622,8891
49216,3371,5541,9142
66788,1020,400,6846
58879,863,2367,8426
74769,5777,6370,157
89614,1882,5329,9691
53134,1120,3414,7420
16807,5169,3173,1277
7563,5536,6865,4953
25432,7029,7037,660
32094,7933,8141,8577
52441,3940,1910,3100
75242,5628,947,3236
56051,907,7711,1284
84511,2117,9694,1729
15473,65,7526,7806
68750,1626,8420,7779
76627,141,8413,5798
413,9052,6837,6218
94199,6311,4798,2500
17232,8126,1116,1381
16363,5638,8835,3092
30398,9681,416,6047
74709,8115,6851,3634
66515,4581,2479,5499
91673,6868,7792,3451
29098,3185,9235,506
11804,4924,8281,633
66228,3133,8997,2527
63558,999,1437,4946
5427,3752,1144,6366
87574,236,3384,7171
32770,600,661,8565
38374,8974,7541,132
19457,3220,6820,3761
24119,1557,9400,5931
13712,2651,5354,7675
12548,7211,1451,8381
95947,9663,3549,2521
55993,5065,6030,99
10041,8213,8555,7734
74359,9623,5772,5849
97550,8105,1760,3639
55362,659,8357,3355
42748,6710,4873,9229
22365,152,4250,2876
46042,9412,4887,8262
2145,1254,4007,2549
76794,8405,2771,3866
2826,7040,7892,7087
41664,3687,4084,5888
55421,4197,5731,7253
47664,2191,8100,2635
38256,3527,408,475
62595,4589,9157,8915
62120,8656,3714,2457
30067,1366,124,5170
8620,5474,3044,5160
51649,9738,3196,9964
82484,102,7999,124
49919,5603,3685,4970
27481,2123,9433,7222
89518,2325,6753,8806
55561,6036,5153,8180
22271,7989,3856,2993
81437,880,4915,4274
59020,1968,8925,714
63266,6451,2077,6699
61923,5520,1304,335
13842,8747,5284,2844
20736,2094,1865,116
38143,3977,2040,6185
4452,3920,3309,2256
84175,5931,535,6567
30249,3574,256,8074
51115,8845,9784,8845
33179,3339,8287,9808
35787,4229,6869,2256
8970,8600,2044,9600
83334,1016,8122,2894
20608,9310,5068,8377
50052,225,8535,5019
21857,4234,5436,3269
48997,7897,1193,392
66521,5908,3641,1399
55492,608,41,5165
20341,4240,84,9858
21287,7784,446,1390
45788,9599,6102,9089
12757,9304,867,6913
71069,8486,6004,3806
49896,8597,810,3586
20665,2638,1521,5680
35587,2143,2361,8655
43188,4671,2840,7780
30902,244,9478,3054
24395,5531,7346,1578
55508,8283,748,180
60405,7977,9559,9973
68916,7950,5143,9260
